date,value
2023-01-01,10660.20447
2023-02-01,18788.69938
2023-03-01,21585.02795
2023-04-01,15173.11332
2023-05-01,24891.65490
2023-06-01,24570.78124
2023-07-01,38686.87101
2023-08-01,46169.59731
2023-09-01,15228.65470
2023-10-01,25077.27349
2023-11-01,16202.01859
2023-12-01,36461.73103
2024-01-01,19896.73796
2024-02-01,47162.66407
2024-03-01,18333.45319
2024-04-01,27283.01290
2024-05-01,19782.63673
2024-06-01,37360.40748
2024-07-01,17212.53610
2024-08-01,32844.93947
2024-09-01,33410.47460
2024-10-01,15257.34152
2024-11-01,19369.17547
2024-12-01,22507.77681
2025-01-01,16297.95936
2025-02-01,67446.49476
2025-03-01,21376.54481
2025-04-01,34370.78413
2025-05-01,68107.24875
2025-06-01,56913.34677
2025-07-01,19472.84807
2025-08-01,45328.33029
2025-09-01,54540.66367
2025-10-01,51126.81655
2025-11-01,51945.49531
2025-12-01,43815.37325
2026-01-01,11623.48740
2026-02-01,38437.39290
2026-03-01,22922.89254
2026-04-01,55020.35232
2026-05-01,26120.07254
2026-06-01,32327.99973
2026-07-01,47691.23680
2026-08-01,28904.08055
