date,value
2023-01-01,8524.29119
2023-02-01,7683.44166
2023-03-01,7706.63062
2023-04-01,6666.20875
2023-05-01,9437.04866
2023-06-01,8772.91582
2023-07-01,8836.53992
2023-08-01,6352.13167
2023-09-01,7285.63722
2023-10-01,9291.68900
2023-11-01,10973.94341
2023-12-01,10660.66193
2024-01-01,7814.49457
2024-02-01,10512.39544
2024-03-01,8204.89021
2024-04-01,7044.17068
2024-05-01,9381.36411
2024-06-01,6531.23392
2024-07-01,5093.10079
2024-08-01,8697.38294
2024-09-01,7232.67261
2024-10-01,8587.96534
2024-11-01,7964.53716
2024-12-01,7170.54169
2025-01-01,5984.01582
2025-02-01,5320.57173
2025-03-01,9268.19083
2025-04-01,7416.49381
2025-05-01,9455.73811
2025-06-01,4779.80025
2025-07-01,7836.99370
2025-08-01,13266.65726
2025-09-01,8425.56390
2025-10-01,10023.39331
2025-11-01,7677.53541
2025-12-01,9711.05826
2026-01-01,8338.26392
2026-02-01,6999.76464
2026-03-01,8443.92535
2026-04-01,10741.89201
2026-05-01,8095.56838
2026-06-01,6386.44524
2026-07-01,9597.84508
2026-08-01,7911.93555
