date,value
2023-01-01,5242.74409
2023-02-01,4649.60239
2023-03-01,6831.13391
2023-04-01,5693.30237
2023-05-01,5829.06324
2023-06-01,6196.65236
2023-07-01,4745.36843
2023-08-01,5927.52915
2023-09-01,6283.33944
2023-10-01,5586.33012
2023-11-01,4954.53825
2023-12-01,5096.59301
2024-01-01,5882.03127
2024-02-01,5034.27266
2024-03-01,5843.55019
2024-04-01,4270.95462
2024-05-01,4680.79477
2024-06-01,2928.53211
2024-07-01,5650.62827
2024-08-01,4694.38607
2024-09-01,5035.15686
2024-10-01,4369.52150
2024-11-01,3957.74262
2024-12-01,5344.14807
2025-01-01,5020.36884
2025-02-01,4330.18036
2025-03-01,6666.84172
2025-04-01,3569.94794
2025-05-01,4029.65772
2025-06-01,4002.12127
2025-07-01,5406.07049
2025-08-01,5669.45143
2025-09-01,3732.45285
2025-10-01,5851.63535
2025-11-01,3879.62945
2025-12-01,4805.72145
2026-01-01,4596.46521
2026-02-01,4245.35085
2026-03-01,4120.89625
2026-04-01,4138.36228
2026-05-01,3687.18993
2026-06-01,4033.21442
2026-07-01,4754.62578
2026-08-01,5862.77772
