date,value
2023-01-01,28.21066
2023-02-01,96.37196
2023-03-01,764.35038
2023-04-01,6362.66412
2023-05-01,11048.07263
2023-06-01,2062.53092
2023-07-01,2114.34950
2023-08-01,5562.47746
2023-09-01,5117.16208
2023-10-01,36.13976
2023-11-01,10.97383
2023-12-01,60.88567
2024-01-01,26.56398
2024-02-01,225.13320
2024-03-01,39.01198
2024-04-01,693.16223
2024-05-01,12893.40364
2024-06-01,2763.57647
2024-07-01,155.23448
2024-08-01,4014.68661
2024-09-01,5.11850
2024-10-01,2535.58499
2024-11-01,2321.21169
2024-12-01,4.52165
2025-01-01,9.91645
2025-02-01,51644.58267
2025-03-01,220.35302
2025-04-01,10078.59293
2025-05-01,135.81905
2025-06-01,1992.19015
2025-07-01,163.04216
2025-08-01,32.93784
2025-09-01,1784.98097
2025-10-01,18.85846
2025-11-01,8.94451
2025-12-01,74.20942
2026-01-01,66453.31528
2026-02-01,1024.65725
2026-03-01,513.40757
2026-04-01,11502.94720
2026-05-01,593.85735
2026-06-01,2196.60395
2026-07-01,474.05066
2026-08-01,322.05879
