date,value
2023-01-01,16755.04020
2023-02-01,17347.70907
2023-03-01,26691.90231
2023-04-01,18324.06062
2023-05-01,23640.12704
2023-06-01,18650.55551
2023-07-01,21131.76478
2023-08-01,22447.69472
2023-09-01,21905.93472
2023-10-01,21742.33226
2023-11-01,19553.09957
2023-12-01,17921.87164
2024-01-01,23146.11931
2024-02-01,17684.71695
2024-03-01,22727.49949
2024-04-01,16603.37985
2024-05-01,22612.26309
2024-06-01,18223.89502
2024-07-01,24017.56612
2024-08-01,29575.18550
2024-09-01,23377.81908
2024-10-01,24880.88127
2024-11-01,26074.87645
2024-12-01,25477.92147
2025-01-01,20948.46945
2025-02-01,19489.05611
2025-03-01,32849.84533
2025-04-01,24793.21627
2025-05-01,30557.91087
2025-06-01,29883.76947
2025-07-01,32527.57169
2025-08-01,24401.36181
2025-09-01,27166.25237
2025-10-01,33273.02295
2025-11-01,21184.53314
2025-12-01,26013.63727
2026-01-01,21568.00841
2026-02-01,21032.69218
2026-03-01,21881.30091
2026-04-01,34409.07685
2026-05-01,20966.48132
2026-06-01,24571.29863
2026-07-01,25718.41300
2026-08-01,25475.51442
