date,value
2023-01-01,8328.40230
2023-02-01,10547.38791
2023-03-01,12359.42248
2023-04-01,11679.94438
2023-05-01,12253.10896
2023-06-01,11995.12152
2023-07-01,15535.77860
2023-08-01,12141.82930
2023-09-01,11501.53624
2023-10-01,11003.44929
2023-11-01,14434.09838
2023-12-01,8763.33742
2024-01-01,12221.73913
2024-02-01,10790.28060
2024-03-01,11714.28779
2024-04-01,11412.50363
2024-05-01,14305.96264
2024-06-01,10455.03091
2024-07-01,13081.64725
2024-08-01,11286.11985
2024-09-01,12628.67315
2024-10-01,11305.01847
2024-11-01,11449.42713
2024-12-01,9729.89994
2025-01-01,8519.82581
2025-02-01,9875.88644
2025-03-01,11841.40411
2025-04-01,11148.43991
2025-05-01,12386.77573
2025-06-01,12569.69645
2025-07-01,16661.95553
2025-08-01,10301.45875
2025-09-01,12588.60536
2025-10-01,12444.58904
2025-11-01,12894.97888
2025-12-01,9241.60877
2026-01-01,13177.64270
2026-02-01,12033.48503
2026-03-01,12605.46089
2026-04-01,13520.06613
2026-05-01,11309.06199
2026-06-01,12732.19680
2026-07-01,14939.48277
2026-08-01,10047.47039
