date,value
2023-01-01,2647.62690
2023-02-01,3634.14943
2023-03-01,2890.77036
2023-04-01,2777.52599
2023-05-01,3471.12977
2023-06-01,3857.28086
2023-07-01,5781.82550
2023-08-01,4031.88328
2023-09-01,6270.01304
2023-10-01,6754.55971
2023-11-01,4093.06848
2023-12-01,4568.45379
2024-01-01,4734.60966
2024-02-01,5687.55907
2024-03-01,4570.45504
2024-04-01,2340.52379
2024-05-01,4170.10787
2024-06-01,2624.13932
2024-07-01,4154.11751
2024-08-01,2042.38564
2024-09-01,3669.78933
2024-10-01,3770.77811
2024-11-01,7026.72329
2024-12-01,5524.46841
2025-01-01,2990.69096
2025-02-01,8807.73723
2025-03-01,4530.85514
2025-04-01,3980.75831
2025-05-01,8081.69346
2025-06-01,3875.81898
2025-07-01,4382.65157
2025-08-01,4176.79283
2025-09-01,2478.16946
2025-10-01,3729.22087
2025-11-01,2826.84358
2025-12-01,3738.67269
2026-01-01,3643.43621
2026-02-01,2222.04393
2026-03-01,2776.32994
2026-04-01,4486.16016
2026-05-01,4974.47513
2026-06-01,4490.23011
2026-07-01,5354.40547
2026-08-01,4144.56243
