date,value
2023-01-01,22997.49708
2023-02-01,27811.50809
2023-03-01,26731.00661
2023-04-01,19422.37629
2023-05-01,21510.07630
2023-06-01,19766.60418
2023-07-01,18374.79636
2023-08-01,18694.72711
2023-09-01,18890.29786
2023-10-01,15841.92360
2023-11-01,19617.95496
2023-12-01,18283.01714
2024-01-01,20431.64479
2024-02-01,22631.99491
2024-03-01,31586.63059
2024-04-01,14614.88292
2024-05-01,18235.82494
2024-06-01,13072.22386
2024-07-01,13128.11301
2024-08-01,16311.08596
2024-09-01,18346.54431
2024-10-01,14754.84802
2024-11-01,22607.41905
2024-12-01,22441.39184
2025-01-01,18250.14946
2025-02-01,15856.66565
2025-03-01,23197.44131
2025-04-01,23002.94745
2025-05-01,21753.73040
2025-06-01,16535.15132
2025-07-01,17865.85694
2025-08-01,17560.72254
2025-09-01,16197.91825
2025-10-01,18798.51371
2025-11-01,14455.31541
2025-12-01,14967.87492
2026-01-01,22146.62527
2026-02-01,14173.49581
2026-03-01,17593.62476
2026-04-01,23515.01766
2026-05-01,18106.29003
2026-06-01,18837.92269
2026-07-01,11894.00864
2026-08-01,25118.14612
