date,value
2023-01-01,7665.47729
2023-02-01,8317.07862
2023-03-01,9085.94160
2023-04-01,7077.68492
2023-05-01,7408.58243
2023-06-01,7653.36036
2023-07-01,6347.72503
2023-08-01,5727.29326
2023-09-01,7662.44207
2023-10-01,13643.61507
2023-11-01,10019.64333
2023-12-01,11448.50057
2024-01-01,9635.24477
2024-02-01,10616.29022
2024-03-01,10232.53879
2024-04-01,6140.50707
2024-05-01,9530.80194
2024-06-01,5732.41376
2024-07-01,6327.88942
2024-08-01,5670.72057
2024-09-01,13783.34530
2024-10-01,12772.73713
2024-11-01,15207.47647
2024-12-01,11894.98072
2025-01-01,10306.27318
2025-02-01,8482.28609
2025-03-01,9151.60360
2025-04-01,8120.17740
2025-05-01,9951.86084
2025-06-01,6646.43693
2025-07-01,6731.32468
2025-08-01,6152.56899
2025-09-01,6285.02773
2025-10-01,17637.88853
2025-11-01,12572.94346
2025-12-01,11291.23117
2026-01-01,10465.44375
2026-02-01,9514.50995
2026-03-01,11047.45506
2026-04-01,10213.31794
2026-05-01,7470.80805
2026-06-01,8527.84479
2026-07-01,7350.70286
2026-08-01,5073.61755
