date,value
2023-01-01,8869.27226
2023-02-01,11228.60650
2023-03-01,11318.80157
2023-04-01,11992.65437
2023-05-01,13790.58863
2023-06-01,10172.35848
2023-07-01,9770.62335
2023-08-01,8727.13086
2023-09-01,7403.71909
2023-10-01,8480.60714
2023-11-01,9761.77549
2023-12-01,6100.25039
2024-01-01,8536.26627
2024-02-01,10217.66459
2024-03-01,10274.15902
2024-04-01,9893.56035
2024-05-01,12708.46645
2024-06-01,8064.01626
2024-07-01,9966.79365
2024-08-01,7004.12691
2024-09-01,9093.69496
2024-10-01,8664.00110
2024-11-01,6901.87894
2024-12-01,5173.72026
2025-01-01,8266.69174
2025-02-01,8162.31938
2025-03-01,9794.68104
2025-04-01,11718.67241
2025-05-01,13232.90927
2025-06-01,8727.75101
2025-07-01,10531.61986
2025-08-01,7977.48100
2025-09-01,10074.38145
2025-10-01,10562.87981
2025-11-01,8071.47335
2025-12-01,7773.97140
2026-01-01,11396.24166
2026-02-01,10978.15690
2026-03-01,10571.93330
2026-04-01,14380.95395
2026-05-01,13080.23104
2026-06-01,11217.35044
2026-07-01,12900.83114
2026-08-01,9866.70263
