date,value
2023-01-01,20707.78688
2023-02-01,19363.56264
2023-03-01,24205.34216
2023-04-01,18855.37547
2023-05-01,21798.20762
2023-06-01,20603.15349
2023-07-01,17679.84759
2023-08-01,20389.38770
2023-09-01,21693.06028
2023-10-01,19175.03655
2023-11-01,21217.00760
2023-12-01,22334.93154
2024-01-01,19134.64822
2024-02-01,20674.82965
2024-03-01,23092.39795
2024-04-01,17662.25274
2024-05-01,24459.45603
2024-06-01,17364.98385
2024-07-01,20670.13718
2024-08-01,20730.00850
2024-09-01,20522.75231
2024-10-01,20273.11741
2024-11-01,19958.20195
2024-12-01,20529.30010
2025-01-01,18919.84055
2025-02-01,19969.77578
2025-03-01,22058.32454
2025-04-01,19776.22799
2025-05-01,22389.78312
2025-06-01,17372.91703
2025-07-01,19798.85980
2025-08-01,20313.34403
2025-09-01,20654.76189
2025-10-01,22389.59554
2025-11-01,21184.36759
2025-12-01,22367.00095
2026-01-01,21550.85676
2026-02-01,19415.36668
2026-03-01,22245.01794
2026-04-01,26421.11730
2026-05-01,22945.07387
2026-06-01,24104.70398
2026-07-01,27658.66899
2026-08-01,25617.93382
