date,value
2023-01-01,1117.36746
2023-02-01,1573.46197
2023-03-01,2415.34119
2023-04-01,1189.44418
2023-05-01,1311.76001
2023-06-01,1394.80257
2023-07-01,1701.10354
2023-08-01,2024.00278
2023-09-01,1515.43597
2023-10-01,1989.49795
2023-11-01,984.58870
2023-12-01,1034.64941
2024-01-01,1596.70768
2024-02-01,1681.31745
2024-03-01,911.65733
2024-04-01,937.70518
2024-05-01,1587.05847
2024-06-01,681.95587
2024-07-01,1357.45277
2024-08-01,1678.70288
2024-09-01,1445.68514
2024-10-01,1932.85946
2024-11-01,1590.25165
2024-12-01,906.89842
2025-01-01,1016.88499
2025-02-01,1167.83470
2025-03-01,1161.12269
2025-04-01,433.22084
2025-05-01,1004.14893
2025-06-01,406.48858
2025-07-01,1556.28907
2025-08-01,1200.07434
2025-09-01,3375.47126
2025-10-01,1748.70527
2025-11-01,1031.43593
2025-12-01,653.70970
2026-01-01,866.27506
2026-02-01,1297.75164
2026-03-01,1430.69089
2026-04-01,1605.38875
2026-05-01,708.11425
2026-06-01,615.71111
2026-07-01,1033.88620
2026-08-01,1739.56502
