date,value
2023-01-01,1205.29729
2023-02-01,1098.05125
2023-03-01,2327.94241
2023-04-01,1268.63289
2023-05-01,2299.30609
2023-06-01,1542.67294
2023-07-01,2063.81175
2023-08-01,2238.27739
2023-09-01,2324.26959
2023-10-01,1769.95152
2023-11-01,1931.85686
2023-12-01,2028.57823
2024-01-01,1554.88014
2024-02-01,1764.23378
2024-03-01,2295.01150
2024-04-01,2234.86673
2024-05-01,2018.02450
2024-06-01,1807.18608
2024-07-01,1992.42869
2024-08-01,2336.77743
2024-09-01,2043.54414
2024-10-01,1692.03531
2024-11-01,2264.45322
2024-12-01,2275.08333
2025-01-01,1628.65825
2025-02-01,1610.35448
2025-03-01,1612.97674
2025-04-01,2312.02188
2025-05-01,2431.47293
2025-06-01,1900.58305
2025-07-01,1966.42703
2025-08-01,2208.33839
2025-09-01,2166.97378
2025-10-01,3025.98642
2025-11-01,2804.95943
2025-12-01,2802.69144
2026-01-01,1782.91293
2026-02-01,1483.33421
2026-03-01,2145.64104
2026-04-01,1834.23838
2026-05-01,2625.34006
2026-06-01,2465.19857
2026-07-01,2351.66275
2026-08-01,1961.61626
