date,value
2023-01-01,1242.30826
2023-02-01,757.54444
2023-03-01,619.95082
2023-04-01,539.96259
2023-05-01,246.17115
2023-06-01,280.42296
2023-07-01,913.28313
2023-08-01,976.00756
2023-09-01,1167.79480
2023-10-01,875.16520
2023-11-01,1876.14452
2023-12-01,646.20388
2024-01-01,943.51311
2024-02-01,1962.40967
2024-03-01,1095.91531
2024-04-01,1056.23387
2024-05-01,1903.70247
2024-06-01,1284.73142
2024-07-01,193.03784
2024-08-01,369.57309
2024-09-01,239.10655
2024-10-01,1812.56058
2024-11-01,50815.01076
2024-12-01,1470.98976
2025-01-01,705.45949
2025-02-01,1016.38096
2025-03-01,768.73850
2025-04-01,2334.96504
2025-05-01,1409.04881
2025-06-01,258.71376
2025-07-01,6241.68595
2025-08-01,103.21765
2025-09-01,549.80222
2025-10-01,1475.76347
2025-11-01,655.09474
2025-12-01,390.68312
2026-01-01,151.96955
2026-02-01,186.74772
2026-03-01,48.37294
2026-04-01,119.25123
2026-05-01,355.91417
2026-06-01,824.21059
2026-07-01,110.16606
2026-08-01,129.52316
