date,value
2023-01-01,16476.26677
2023-02-01,16199.74542
2023-03-01,23213.07593
2023-04-01,14674.20452
2023-05-01,22841.30418
2023-06-01,29354.91401
2023-07-01,11457.48269
2023-08-01,15227.36621
2023-09-01,14335.06446
2023-10-01,15895.30856
2023-11-01,24297.63652
2023-12-01,11643.27711
2024-01-01,13439.61736
2024-02-01,18244.38372
2024-03-01,15566.12037
2024-04-01,20802.46834
2024-05-01,22850.02682
2024-06-01,9570.53456
2024-07-01,22213.05569
2024-08-01,16122.97679
2024-09-01,18455.55280
2024-10-01,21560.58474
2024-11-01,13405.19730
2024-12-01,16141.09379
2025-01-01,10327.54341
2025-02-01,12934.33186
2025-03-01,16708.10922
2025-04-01,16476.46600
2025-05-01,19983.91294
2025-06-01,19005.09595
2025-07-01,14737.99757
2025-08-01,15108.21229
2025-09-01,15649.15221
2025-10-01,14828.71318
2025-11-01,14974.91403
2025-12-01,19781.08677
2026-01-01,16183.12926
2026-02-01,23126.81172
2026-03-01,24735.04887
2026-04-01,23870.96897
2026-05-01,14178.98678
2026-06-01,22562.88357
2026-07-01,16867.25367
2026-08-01,17211.07714
