date,value
2023-01-01,5254.73359
2023-02-01,4892.98458
2023-03-01,6441.15904
2023-04-01,4015.70070
2023-05-01,5504.55742
2023-06-01,4820.55757
2023-07-01,3771.87455
2023-08-01,5449.87542
2023-09-01,4993.16527
2023-10-01,4635.19749
2023-11-01,4911.60322
2023-12-01,4551.12166
2024-01-01,4403.14750
2024-02-01,5082.99432
2024-03-01,6068.19166
2024-04-01,4477.01613
2024-05-01,8875.63765
2024-06-01,4068.77040
2024-07-01,4759.47596
2024-08-01,4213.03375
2024-09-01,4065.55589
2024-10-01,4497.13059
2024-11-01,5145.42936
2024-12-01,5538.01852
2025-01-01,5302.37020
2025-02-01,4590.24535
2025-03-01,6689.38126
2025-04-01,7777.43595
2025-05-01,7098.64940
2025-06-01,4449.81310
2025-07-01,5267.08533
2025-08-01,5425.93431
2025-09-01,5962.65775
2025-10-01,5262.28375
2025-11-01,5378.14840
2025-12-01,4892.74526
2026-01-01,4441.08601
2026-02-01,4166.38389
2026-03-01,4021.94113
2026-04-01,5899.51442
2026-05-01,4567.97355
2026-06-01,4921.97616
2026-07-01,5662.51572
2026-08-01,5674.48547
