date,value
2023-01-01,4114.29138
2023-02-01,5405.85325
2023-03-01,4714.62140
2023-04-01,3596.84939
2023-05-01,3335.51887
2023-06-01,5721.24583
2023-07-01,4613.39223
2023-08-01,5701.61190
2023-09-01,4100.69432
2023-10-01,2834.23182
2023-11-01,4028.19322
2023-12-01,4292.45825
2024-01-01,4526.62695
2024-02-01,3240.64028
2024-03-01,3539.64014
2024-04-01,2616.17606
2024-05-01,3161.93712
2024-06-01,3676.16573
2024-07-01,4947.01446
2024-08-01,5673.06964
2024-09-01,4038.68629
2024-10-01,3053.79270
2024-11-01,3388.26538
2024-12-01,4431.61358
2025-01-01,4534.81375
2025-02-01,3753.07875
2025-03-01,3475.04093
2025-04-01,2318.40764
2025-05-01,4649.70202
2025-06-01,3000.66943
2025-07-01,6458.41305
2025-08-01,4870.30207
2025-09-01,4152.39517
2025-10-01,4187.92103
2025-11-01,3112.21650
2025-12-01,3425.95651
2026-01-01,5140.83416
2026-02-01,5340.09575
2026-03-01,2715.93539
2026-04-01,2875.88422
2026-05-01,3880.01146
2026-06-01,3760.11438
2026-07-01,8843.36179
2026-08-01,5959.09669
