date,value
2023-01-01,10526.41316
2023-02-01,11433.89025
2023-03-01,10640.04022
2023-04-01,6462.34984
2023-05-01,10191.80721
2023-06-01,5122.69421
2023-07-01,7038.05372
2023-08-01,10935.18291
2023-09-01,7575.67764
2023-10-01,9796.45099
2023-11-01,9685.02229
2023-12-01,14660.49607
2024-01-01,11047.34200
2024-02-01,10873.66510
2024-03-01,13059.35823
2024-04-01,8130.60569
2024-05-01,9213.73461
2024-06-01,7660.40544
2024-07-01,10098.13293
2024-08-01,8657.33738
2024-09-01,10533.50696
2024-10-01,11417.34014
2024-11-01,8321.72741
2024-12-01,15571.81345
2025-01-01,9875.92823
2025-02-01,12020.19653
2025-03-01,13824.13223
2025-04-01,11536.09604
2025-05-01,9801.74873
2025-06-01,10209.03211
2025-07-01,11388.22264
2025-08-01,10435.26197
2025-09-01,8886.93867
2025-10-01,13508.85698
2025-11-01,12478.25093
2025-12-01,10503.44288
2026-01-01,9437.30204
2026-02-01,8527.07763
2026-03-01,6143.67333
2026-04-01,9911.32419
2026-05-01,22413.32561
2026-06-01,7121.86793
2026-07-01,15535.84167
2026-08-01,10662.62253
