date,value
2023-01-01,10561.07329
2023-02-01,10143.88705
2023-03-01,13003.71429
2023-04-01,9475.44404
2023-05-01,8951.82829
2023-06-01,9785.37092
2023-07-01,9005.42848
2023-08-01,10232.77792
2023-09-01,9170.97839
2023-10-01,12365.85801
2023-11-01,13570.04875
2023-12-01,11880.46814
2024-01-01,9430.96378
2024-02-01,13446.30940
2024-03-01,11341.88461
2024-04-01,8944.73602
2024-05-01,10937.18436
2024-06-01,7548.34299
2024-07-01,11646.91415
2024-08-01,8790.80413
2024-09-01,8792.19605
2024-10-01,11861.27371
2024-11-01,10571.30278
2024-12-01,11571.14638
2025-01-01,10524.76152
2025-02-01,8583.80087
2025-03-01,10268.07681
2025-04-01,12269.58648
2025-05-01,13361.65861
2025-06-01,11495.20399
2025-07-01,12819.65519
2025-08-01,11552.24484
2025-09-01,12665.82190
2025-10-01,11714.15685
2025-11-01,11279.47002
2025-12-01,15413.35103
2026-01-01,14079.38516
2026-02-01,15204.59283
2026-03-01,12210.24281
2026-04-01,17514.30026
2026-05-01,12560.77048
2026-06-01,13836.14057
2026-07-01,15589.39907
2026-08-01,12399.43337
