date,value
2023-01-01,10382.93758
2023-02-01,9081.67635
2023-03-01,9939.21384
2023-04-01,8229.73660
2023-05-01,8354.93573
2023-06-01,8012.84042
2023-07-01,10659.25644
2023-08-01,14241.88347
2023-09-01,11836.00334
2023-10-01,15163.74468
2023-11-01,14670.59195
2023-12-01,18659.92146
2024-01-01,13062.09973
2024-02-01,15866.49255
2024-03-01,15813.46405
2024-04-01,12873.30871
2024-05-01,11989.98306
2024-06-01,10079.76255
2024-07-01,10940.10710
2024-08-01,13225.87089
2024-09-01,14396.10197
2024-10-01,19182.46452
2024-11-01,16962.91567
2024-12-01,16411.23705
2025-01-01,12731.98828
2025-02-01,14009.71684
2025-03-01,16061.02423
2025-04-01,11700.82867
2025-05-01,10750.12039
2025-06-01,8308.73506
2025-07-01,10497.49732
2025-08-01,8993.44858
2025-09-01,11285.36524
2025-10-01,14388.88824
2025-11-01,15284.55882
2025-12-01,16795.43352
2026-01-01,14126.19712
2026-02-01,9963.25659
2026-03-01,9340.92099
2026-04-01,8292.53484
2026-05-01,7005.55739
2026-06-01,9850.72086
2026-07-01,10352.06604
2026-08-01,15224.97463
