date,value
2023-01-01,558.05973
2023-02-01,611.37822
2023-03-01,1337.53250
2023-04-01,1251.79062
2023-05-01,585.23216
2023-06-01,1186.55805
2023-07-01,595.14724
2023-08-01,1253.73253
2023-09-01,1039.02335
2023-10-01,1208.21295
2023-11-01,875.80048
2023-12-01,843.52881
2024-01-01,480.40375
2024-02-01,1768.49483
2024-03-01,1512.66560
2024-04-01,1117.43063
2024-05-01,3152.45700
2024-06-01,2917.29934
2024-07-01,4392.81092
2024-08-01,737.77410
2024-09-01,392.59309
2024-10-01,857.04973
2024-11-01,663.36887
2024-12-01,415.15315
2025-01-01,488.90877
2025-02-01,2360.56250
2025-03-01,819.44724
2025-04-01,1335.97954
2025-05-01,3267.25252
2025-06-01,1975.07297
2025-07-01,231.28916
2025-08-01,2193.74576
2025-09-01,575.34455
2025-10-01,352.70537
2025-11-01,403.77965
2025-12-01,188.90801
2026-01-01,367.18739
2026-02-01,504.06307
2026-03-01,453.58811
2026-04-01,872.22961
2026-05-01,2020.62616
2026-06-01,2271.05781
2026-07-01,414.60168
2026-08-01,648.84231
