date,value
2023-01-01,638.23728
2023-02-01,44.92806
2023-03-01,286.47973
2023-04-01,3182.42404
2023-05-01,7052.18175
2023-06-01,3869.25847
2023-07-01,14564.14783
2023-08-01,14692.03233
2023-09-01,3270.80315
2023-10-01,8100.28181
2023-11-01,10604.28641
2023-12-01,11394.33347
2024-01-01,5445.53977
2024-02-01,2042.96479
2024-03-01,5529.57102
2024-04-01,8045.31934
2024-05-01,6571.92412
2024-06-01,3489.13359
2024-07-01,3100.88929
2024-08-01,6244.66096
2024-09-01,9744.01760
2024-10-01,9619.75801
2024-11-01,10691.20249
2024-12-01,4338.99093
2025-01-01,2690.55444
2025-02-01,1507.95687
2025-03-01,1725.28539
2025-04-01,2618.03963
2025-05-01,308.39576
2025-06-01,965.00116
2025-07-01,1114.21709
2025-08-01,2287.62857
2025-09-01,4277.52048
2025-10-01,2519.40280
2025-11-01,1201.27451
2025-12-01,1280.66536
2026-01-01,220.02535
2026-02-01,186.98300
2026-03-01,141.00778
2026-04-01,822.48709
2026-05-01,177.75507
2026-06-01,1414.57009
2026-07-01,2408.98696
2026-08-01,3195.59796
