date,value
2023-01-01,422.71682
2023-02-01,408.84025
2023-03-01,622.21788
2023-04-01,339.92500
2023-05-01,568.26093
2023-06-01,1645.48785
2023-07-01,515.84692
2023-08-01,653.70612
2023-09-01,458.07482
2023-10-01,393.84013
2023-11-01,328.85794
2023-12-01,202.42144
2024-01-01,356.55021
2024-02-01,327.68049
2024-03-01,380.33207
2024-04-01,430.28767
2024-05-01,627.73871
2024-06-01,405.89740
2024-07-01,407.79283
2024-08-01,588.47435
2024-09-01,8260.76731
2024-10-01,357.36302
2024-11-01,390.23636
2024-12-01,239.29886
2025-01-01,959.77847
2025-02-01,436.95145
2025-03-01,465.92423
2025-04-01,376.78975
2025-05-01,410.64942
2025-06-01,556.85077
2025-07-01,804.73310
2025-08-01,2014.45885
2025-09-01,634.87822
2025-10-01,3001.40251
2025-11-01,371.27245
2025-12-01,355.78716
2026-01-01,301.01521
2026-02-01,766.13361
2026-03-01,465.93701
2026-04-01,397.95809
2026-05-01,340.13339
2026-06-01,409.46388
2026-07-01,5655.44476
2026-08-01,535.05837
