date,value
2023-01-01,78177.67070
2023-02-01,58447.97707
2023-03-01,75979.31331
2023-04-01,66300.86812
2023-05-01,68021.43304
2023-06-01,65912.13163
2023-07-01,57910.19649
2023-08-01,50758.07869
2023-09-01,71173.95818
2023-10-01,59408.43782
2023-11-01,54604.07479
2023-12-01,44739.20613
2024-01-01,69148.64186
2024-02-01,63176.50673
2024-03-01,72225.53260
2024-04-01,54692.10941
2024-05-01,74951.83152
2024-06-01,57990.79218
2024-07-01,62989.50265
2024-08-01,54692.85418
2024-09-01,67170.93750
2024-10-01,63774.26175
2024-11-01,63119.62043
2024-12-01,37114.27101
2025-01-01,70590.90229
2025-02-01,59298.45206
2025-03-01,66755.50799
2025-04-01,60148.75913
2025-05-01,70912.66344
2025-06-01,56798.54167
2025-07-01,62365.57382
2025-08-01,52429.98043
2025-09-01,66497.38245
2025-10-01,67548.33146
2025-11-01,61138.48574
2025-12-01,41010.59300
2026-01-01,67313.52141
2026-02-01,62612.66104
2026-03-01,57220.24443
2026-04-01,74073.54179
2026-05-01,58889.98931
2026-06-01,66465.38063
2026-07-01,57480.16618
2026-08-01,53230.47572
