date,value
2023-01-01,5913.02783
2023-02-01,5975.16893
2023-03-01,6711.00070
2023-04-01,6428.94152
2023-05-01,8544.21733
2023-06-01,5823.84107
2023-07-01,5262.41382
2023-08-01,6329.83816
2023-09-01,6428.56208
2023-10-01,6674.29870
2023-11-01,6136.54617
2023-12-01,6598.64533
2024-01-01,6320.75501
2024-02-01,7505.69621
2024-03-01,8412.35196
2024-04-01,7622.06547
2024-05-01,9610.70090
2024-06-01,7362.19689
2024-07-01,9297.79718
2024-08-01,8445.74304
2024-09-01,7034.03403
2024-10-01,8585.11322
2024-11-01,8122.13355
2024-12-01,7260.11119
2025-01-01,8571.99544
2025-02-01,5825.99480
2025-03-01,7861.63240
2025-04-01,8601.59570
2025-05-01,10185.92602
2025-06-01,6322.00993
2025-07-01,7931.90988
2025-08-01,7904.43812
2025-09-01,7804.38470
2025-10-01,7908.85805
2025-11-01,7939.85644
2025-12-01,7754.48780
2026-01-01,6939.60075
2026-02-01,8864.00383
2026-03-01,7306.89572
2026-04-01,10177.22717
2026-05-01,7555.26916
2026-06-01,9358.87527
2026-07-01,10173.03046
2026-08-01,7446.48167
