date,value
2023-01-01,4396.05588
2023-02-01,4149.07979
2023-03-01,6834.35661
2023-04-01,5029.37852
2023-05-01,6383.80598
2023-06-01,5818.77985
2023-07-01,5716.59750
2023-08-01,5463.56397
2023-09-01,6499.03804
2023-10-01,6267.40268
2023-11-01,6179.13373
2023-12-01,6602.73671
2024-01-01,4414.87500
2024-02-01,5739.60906
2024-03-01,6328.19370
2024-04-01,5699.32701
2024-05-01,6522.56240
2024-06-01,5914.46507
2024-07-01,8655.76741
2024-08-01,6612.83928
2024-09-01,7290.11562
2024-10-01,8237.98313
2024-11-01,7496.77110
2024-12-01,8840.64119
2025-01-01,5178.85233
2025-02-01,6142.41679
2025-03-01,7197.12204
2025-04-01,5825.99921
2025-05-01,8772.03171
2025-06-01,8182.38452
2025-07-01,8677.59710
2025-08-01,8636.63174
2025-09-01,8597.97458
2025-10-01,7376.02125
2025-11-01,8423.68398
2025-12-01,8034.45704
2026-01-01,5429.33895
2026-02-01,6914.32163
2026-03-01,8331.72017
2026-04-01,8215.18785
2026-05-01,8000.86563
2026-06-01,10871.05709
2026-07-01,9770.55112
2026-08-01,9564.16192
