date,value
2023-01-01,1536.64370
2023-02-01,1934.36938
2023-03-01,1485.37103
2023-04-01,1151.12438
2023-05-01,2966.30953
2023-06-01,2158.76164
2023-07-01,1862.81748
2023-08-01,2146.56611
2023-09-01,1601.30690
2023-10-01,2557.39421
2023-11-01,1458.65402
2023-12-01,1389.79718
2024-01-01,1318.65839
2024-02-01,1475.82319
2024-03-01,1314.63103
2024-04-01,1634.09844
2024-05-01,3541.41206
2024-06-01,2524.21477
2024-07-01,3971.77483
2024-08-01,3344.03007
2024-09-01,2354.94028
2024-10-01,3572.88598
2024-11-01,3211.36223
2024-12-01,2498.43005
2025-01-01,2985.20418
2025-02-01,3381.89718
2025-03-01,2050.23085
2025-04-01,1350.81022
2025-05-01,3773.84284
2025-06-01,1826.33564
2025-07-01,3050.91897
2025-08-01,1949.15519
2025-09-01,3719.71424
2025-10-01,2932.52839
2025-11-01,1413.73753
2025-12-01,1329.47165
2026-01-01,1973.87596
2026-02-01,2214.57120
2026-03-01,1250.96873
2026-04-01,4185.31433
2026-05-01,2626.48937
2026-06-01,2418.06782
2026-07-01,2882.20181
2026-08-01,4311.06394
