date,value
2023-01-01,2179.06496
2023-02-01,1955.72909
2023-03-01,3403.52308
2023-04-01,1650.64835
2023-05-01,2427.96223
2023-06-01,3332.96573
2023-07-01,2517.31864
2023-08-01,2605.97401
2023-09-01,3439.48868
2023-10-01,3493.27152
2023-11-01,2953.26309
2023-12-01,3071.64488
2024-01-01,2046.73384
2024-02-01,2130.70438
2024-03-01,1092.30843
2024-04-01,676.05253
2024-05-01,2666.71033
2024-06-01,2059.65519
2024-07-01,3328.63979
2024-08-01,2841.88473
2024-09-01,2886.04636
2024-10-01,2147.70300
2024-11-01,3660.96484
2024-12-01,4117.48645
2025-01-01,4443.69460
2025-02-01,2817.75859
2025-03-01,2444.04735
2025-04-01,2594.56473
2025-05-01,2078.53901
2025-06-01,1737.78820
2025-07-01,1934.01737
2025-08-01,3897.22464
2025-09-01,4281.69593
2025-10-01,2401.70855
2025-11-01,2550.97587
2025-12-01,3097.90349
2026-01-01,2213.37318
2026-02-01,2520.10619
2026-03-01,932.46545
2026-04-01,1985.92615
2026-05-01,3511.09592
2026-06-01,3374.73334
2026-07-01,3125.84349
2026-08-01,2889.00869
