date,value
2023-01-01,14294.49195
2023-02-01,10401.70767
2023-03-01,12551.96011
2023-04-01,11757.65948
2023-05-01,13212.06043
2023-06-01,12809.74929
2023-07-01,10158.35943
2023-08-01,11651.28016
2023-09-01,15101.26461
2023-10-01,13025.35647
2023-11-01,12977.25078
2023-12-01,15887.17092
2024-01-01,14807.17684
2024-02-01,15369.41111
2024-03-01,12416.02473
2024-04-01,10032.51791
2024-05-01,12994.13099
2024-06-01,6668.68648
2024-07-01,16967.41486
2024-08-01,15632.03966
2024-09-01,11694.69194
2024-10-01,15594.47554
2024-11-01,13651.52132
2024-12-01,15536.92017
2025-01-01,13537.88209
2025-02-01,12850.45366
2025-03-01,11820.43756
2025-04-01,12549.66591
2025-05-01,12311.94737
2025-06-01,10878.47925
2025-07-01,14900.96170
2025-08-01,9901.05579
2025-09-01,11802.82832
2025-10-01,12708.12420
2025-11-01,10368.16143
2025-12-01,16534.25293
2026-01-01,9554.82147
2026-02-01,13746.36384
2026-03-01,14763.21350
2026-04-01,15031.72423
2026-05-01,12962.92212
2026-06-01,13803.73218
2026-07-01,16694.92100
2026-08-01,13737.50444
