date,value
2023-01-01,12535.23407
2023-02-01,11020.27783
2023-03-01,10773.45648
2023-04-01,10890.48271
2023-05-01,14014.30517
2023-06-01,9835.60546
2023-07-01,11344.50091
2023-08-01,10192.73952
2023-09-01,16595.46409
2023-10-01,10958.21566
2023-11-01,11619.07799
2023-12-01,11634.79777
2024-01-01,12412.36322
2024-02-01,10515.64670
2024-03-01,11419.23355
2024-04-01,9819.78355
2024-05-01,12617.82560
2024-06-01,6307.37523
2024-07-01,12427.62505
2024-08-01,10481.53798
2024-09-01,13591.97252
2024-10-01,13943.46140
2024-11-01,12798.62805
2024-12-01,15257.39881
2025-01-01,11086.31144
2025-02-01,8541.18564
2025-03-01,13676.94264
2025-04-01,9517.99751
2025-05-01,12959.99704
2025-06-01,10179.64424
2025-07-01,11815.43626
2025-08-01,16692.46866
2025-09-01,13987.81760
2025-10-01,13490.40755
2025-11-01,11742.53778
2025-12-01,11867.50315
2026-01-01,10603.11134
2026-02-01,10688.16583
2026-03-01,14721.85387
2026-04-01,12881.13431
2026-05-01,11534.93196
2026-06-01,13313.05356
2026-07-01,11954.56267
2026-08-01,13031.87449
