date,value
2023-01-01,2985.49592
2023-02-01,2569.99919
2023-03-01,2616.33381
2023-04-01,2064.00709
2023-05-01,1642.05473
2023-06-01,1717.08823
2023-07-01,1379.17055
2023-08-01,1598.88441
2023-09-01,2880.35932
2023-10-01,3382.14924
2023-11-01,3973.85403
2023-12-01,4555.16247
2024-01-01,3918.02163
2024-02-01,4364.87440
2024-03-01,4696.87638
2024-04-01,2278.99806
2024-05-01,3031.82817
2024-06-01,1889.85285
2024-07-01,2168.15389
2024-08-01,2576.06260
2024-09-01,4642.43786
2024-10-01,4598.33913
2024-11-01,4338.02072
2024-12-01,7094.96784
2025-01-01,3607.17142
2025-02-01,3131.48836
2025-03-01,3110.72567
2025-04-01,1958.64962
2025-05-01,2345.59715
2025-06-01,2197.56161
2025-07-01,3418.06147
2025-08-01,2149.27998
2025-09-01,2382.55173
2025-10-01,2460.25391
2025-11-01,3837.48782
2025-12-01,3367.10147
2026-01-01,3283.46976
2026-02-01,2779.23760
2026-03-01,2970.28057
2026-04-01,2833.19857
2026-05-01,1786.40313
2026-06-01,1971.79847
2026-07-01,2178.34403
2026-08-01,1152.03323
