date,value
2023-01-01,7671.90210
2023-02-01,4966.96809
2023-03-01,6931.76727
2023-04-01,6033.80160
2023-05-01,5977.49345
2023-06-01,6977.39530
2023-07-01,4076.12976
2023-08-01,7958.06408
2023-09-01,7850.08494
2023-10-01,6082.95097
2023-11-01,6770.12287
2023-12-01,2839.10141
2024-01-01,8604.97545
2024-02-01,8668.22001
2024-03-01,5221.14736
2024-04-01,4767.96024
2024-05-01,8862.81856
2024-06-01,6591.48790
2024-07-01,8183.89385
2024-08-01,8725.87803
2024-09-01,9953.02297
2024-10-01,10904.53799
2024-11-01,12055.19776
2024-12-01,3745.90530
2025-01-01,8965.52541
2025-02-01,11241.54040
2025-03-01,8969.09055
2025-04-01,7647.84839
2025-05-01,11840.34131
2025-06-01,9269.64023
2025-07-01,7220.09292
2025-08-01,7968.13476
2025-09-01,11501.19663
2025-10-01,11976.71828
2025-11-01,4676.34032
2025-12-01,3299.00818
2026-01-01,4778.79193
2026-02-01,8783.13470
2026-03-01,6828.64441
2026-04-01,10957.06742
2026-05-01,5383.02758
2026-06-01,7952.43935
2026-07-01,6868.96283
2026-08-01,11368.39418
