date,value
2023-01-01,29175.35960
2023-02-01,30884.17116
2023-03-01,38032.74969
2023-04-01,35488.66759
2023-05-01,38914.53147
2023-06-01,33802.24447
2023-07-01,36478.17695
2023-08-01,38927.38611
2023-09-01,39397.31047
2023-10-01,38214.68527
2023-11-01,36858.24551
2023-12-01,28015.45467
2024-01-01,28625.93885
2024-02-01,33081.16669
2024-03-01,38159.98835
2024-04-01,33082.57561
2024-05-01,44204.76787
2024-06-01,33815.16301
2024-07-01,39587.97996
2024-08-01,42105.35921
2024-09-01,38902.16685
2024-10-01,46604.32290
2024-11-01,38743.47229
2024-12-01,28634.20591
2025-01-01,35948.78258
2025-02-01,37665.13111
2025-03-01,49109.77925
2025-04-01,41134.67892
2025-05-01,48099.51410
2025-06-01,38882.05713
2025-07-01,45664.32051
2025-08-01,42194.66148
2025-09-01,42692.42773
2025-10-01,47921.05631
2025-11-01,44295.91514
2025-12-01,32580.71983
2026-01-01,32705.68780
2026-02-01,36586.19862
2026-03-01,38242.75675
2026-04-01,42900.03092
2026-05-01,40387.69821
2026-06-01,48138.47237
2026-07-01,50579.77830
2026-08-01,43158.65402
