date,value
2023-01-01,17164.33137
2023-02-01,16918.74583
2023-03-01,22899.53230
2023-04-01,17027.70605
2023-05-01,17500.66376
2023-06-01,18258.25007
2023-07-01,14838.18144
2023-08-01,11766.77736
2023-09-01,15724.56522
2023-10-01,15394.87310
2023-11-01,16030.27726
2023-12-01,13344.79883
2024-01-01,14877.68010
2024-02-01,16803.78556
2024-03-01,21560.38668
2024-04-01,17589.29036
2024-05-01,19509.53539
2024-06-01,13483.85592
2024-07-01,14275.76458
2024-08-01,13108.98594
2024-09-01,15962.79423
2024-10-01,20055.59901
2024-11-01,18723.12218
2024-12-01,10481.84361
2025-01-01,15691.38213
2025-02-01,13628.72521
2025-03-01,17238.90952
2025-04-01,14384.61688
2025-05-01,16595.31267
2025-06-01,11290.32342
2025-07-01,13464.59372
2025-08-01,13006.03239
2025-09-01,12203.15997
2025-10-01,15715.75717
2025-11-01,13725.79041
2025-12-01,9889.73733
2026-01-01,13465.27809
2026-02-01,14302.27936
2026-03-01,13999.46443
2026-04-01,13768.44913
2026-05-01,11978.23294
2026-06-01,14171.52042
2026-07-01,13502.03840
2026-08-01,10246.91625
