date,value
2023-01-01,26902.36761
2023-02-01,32723.63568
2023-03-01,33685.83471
2023-04-01,35146.04416
2023-05-01,34024.01951
2023-06-01,17964.42281
2023-07-01,7679.20665
2023-08-01,8494.06443
2023-09-01,13266.40350
2023-10-01,18313.36433
2023-11-01,27357.82503
2023-12-01,36217.58981
2024-01-01,31351.74970
2024-02-01,30800.79116
2024-03-01,31732.53441
2024-04-01,36550.39631
2024-05-01,23508.74405
2024-06-01,8723.74457
2024-07-01,5336.13078
2024-08-01,11416.86677
2024-09-01,20458.42617
2024-10-01,22591.58666
2024-11-01,32436.85161
2024-12-01,35140.02677
2025-01-01,36040.82902
2025-02-01,30941.86687
2025-03-01,38691.82847
2025-04-01,35521.49029
2025-05-01,26381.93219
2025-06-01,15502.88090
2025-07-01,13831.62608
2025-08-01,8976.52011
2025-09-01,6094.27961
2025-10-01,17663.62413
2025-11-01,25910.08845
2025-12-01,36092.59510
2026-01-01,38815.80678
2026-02-01,39731.40234
2026-03-01,47634.90936
2026-04-01,40779.34576
2026-05-01,22044.98468
2026-06-01,8579.46124
2026-07-01,2234.21338
2026-08-01,5082.05642
