date,value
2023-01-01,60809.24021
2023-02-01,81253.23099
2023-03-01,64726.94553
2023-04-01,51977.24498
2023-05-01,59625.55141
2023-06-01,59211.40982
2023-07-01,43281.55036
2023-08-01,52514.04726
2023-09-01,50337.88014
2023-10-01,46688.01016
2023-11-01,43759.70059
2023-12-01,45290.45472
2024-01-01,31200.41525
2024-02-01,37809.60310
2024-03-01,51874.88460
2024-04-01,32516.26466
2024-05-01,37729.25100
2024-06-01,33201.42916
2024-07-01,34835.77539
2024-08-01,40880.61704
2024-09-01,42694.70554
2024-10-01,35065.26757
2024-11-01,26407.02890
2024-12-01,28087.85167
2025-01-01,21475.59468
2025-02-01,21600.33403
2025-03-01,27691.34129
2025-04-01,23209.18197
2025-05-01,22001.12351
2025-06-01,17336.57162
2025-07-01,18554.91127
2025-08-01,18572.96765
2025-09-01,16705.21976
2025-10-01,22901.18999
2025-11-01,18198.09517
2025-12-01,21417.83873
2026-01-01,14511.28266
2026-02-01,16004.13804
2026-03-01,15388.10790
2026-04-01,20039.38217
2026-05-01,17521.11147
2026-06-01,15563.06299
2026-07-01,18563.15915
2026-08-01,10178.21009
