date,value
2023-01-01,2890.96556
2023-02-01,1377.89122
2023-03-01,1472.33961
2023-04-01,2673.15764
2023-05-01,586.55758
2023-06-01,1322.15195
2023-07-01,405.17155
2023-08-01,1623.16076
2023-09-01,812.61625
2023-10-01,2669.53678
2023-11-01,1252.22439
2023-12-01,698.34245
2024-01-01,309.69480
2024-02-01,1817.79656
2024-03-01,204.55768
2024-04-01,821.92761
2024-05-01,1240.89252
2024-06-01,443.78062
2024-07-01,1052.05339
2024-08-01,2099.17964
2024-09-01,833.48580
2024-10-01,1203.25292
2024-11-01,729.89509
2024-12-01,530.38981
2025-01-01,457.45447
2025-02-01,920.32807
2025-03-01,484.17810
2025-04-01,753.32987
2025-05-01,854.60542
2025-06-01,614.38663
2025-07-01,954.20167
2025-08-01,2201.95823
2025-09-01,464.63851
2025-10-01,857.25828
2025-11-01,1226.31102
2025-12-01,503.26822
2026-01-01,506.36596
2026-02-01,489.86240
2026-03-01,264.80823
2026-04-01,712.23292
2026-05-01,445.55221
2026-06-01,573.93532
2026-07-01,4174.58516
2026-08-01,209.86087
