date,value
2023-01-01,16179.16386
2023-02-01,17387.70780
2023-03-01,21469.78961
2023-04-01,16178.10521
2023-05-01,16894.06106
2023-06-01,16593.44034
2023-07-01,14681.95875
2023-08-01,18000.45337
2023-09-01,16981.42145
2023-10-01,17523.56093
2023-11-01,19375.12144
2023-12-01,16677.74761
2024-01-01,15208.45411
2024-02-01,18010.51947
2024-03-01,20442.03747
2024-04-01,17816.86070
2024-05-01,20584.05745
2024-06-01,16066.06896
2024-07-01,19116.48676
2024-08-01,21674.77197
2024-09-01,19663.87013
2024-10-01,18752.76646
2024-11-01,19973.57458
2024-12-01,17970.80543
2025-01-01,15601.55366
2025-02-01,21384.94456
2025-03-01,21595.06886
2025-04-01,20530.99718
2025-05-01,29410.22164
2025-06-01,24526.40830
2025-07-01,24646.09755
2025-08-01,22074.82498
2025-09-01,30640.88376
2025-10-01,25201.84160
2025-11-01,24582.39331
2025-12-01,24459.84917
2026-01-01,30249.13662
2026-02-01,25474.75168
2026-03-01,26138.20438
2026-04-01,31732.77021
2026-05-01,23253.51162
2026-06-01,27810.91910
2026-07-01,24991.02106
2026-08-01,22660.44259
