date,value
2023-01-01,264.75076
2023-02-01,178.70938
2023-03-01,304.60591
2023-04-01,102.35038
2023-05-01,124.94243
2023-06-01,88.06592
2023-07-01,101.36788
2023-08-01,110.04526
2023-09-01,65.83942
2023-10-01,824.24959
2023-11-01,796.47719
2023-12-01,1307.38318
2024-01-01,297.30529
2024-02-01,189.45110
2024-03-01,70.87814
2024-04-01,241.59441
2024-05-01,126.65886
2024-06-01,28.33826
2024-07-01,65.16385
2024-08-01,46.49981
2024-09-01,461.05441
2024-10-01,1054.57408
2024-11-01,1246.80641
2024-12-01,1070.85242
2025-01-01,181.60377
2025-02-01,207.74796
2025-03-01,54.74397
2025-04-01,83.85154
2025-05-01,50.19281
2025-06-01,81.72980
2025-07-01,197.69037
2025-08-01,0.00000
2025-09-01,132.03302
2025-10-01,862.01524
2025-11-01,753.15153
2025-12-01,1058.52262
2026-01-01,218.21791
2026-02-01,146.09259
2026-03-01,209.26086
2026-04-01,255.02637
2026-05-01,272.76233
2026-06-01,172.10256
2026-07-01,159.18094
2026-08-01,63.05756
