date,value
2023-01-01,7824.98114
2023-02-01,3369.51954
2023-03-01,6686.56543
2023-04-01,3497.15422
2023-05-01,1922.63901
2023-06-01,345.59302
2023-07-01,261.83132
2023-08-01,148.28844
2023-09-01,953.86456
2023-10-01,848.35375
2023-11-01,953.19996
2023-12-01,425.07266
2024-01-01,1665.71333
2024-02-01,223.83396
2024-03-01,1519.43888
2024-04-01,215.23120
2024-05-01,1855.59862
2024-06-01,915.52395
2024-07-01,418.63646
2024-08-01,2619.44199
2024-09-01,3027.03618
2024-10-01,815.54707
2024-11-01,3281.70561
2024-12-01,1582.47527
2025-01-01,910.94645
2025-02-01,265.85088
2025-03-01,234.11616
2025-04-01,310.60256
2025-05-01,279.09800
2025-06-01,231.15035
2025-07-01,617.13603
2025-08-01,333.25086
2025-09-01,500.21989
2025-10-01,166.86526
2025-11-01,415.24918
2025-12-01,1220.53299
2026-01-01,773.72680
2026-02-01,140.57928
2026-03-01,1230.70435
2026-04-01,1611.40426
2026-05-01,1510.98958
2026-06-01,2425.26717
2026-07-01,1166.53246
2026-08-01,1553.38177
