date,value
2023-01-01,4915.43737
2023-02-01,5948.65335
2023-03-01,5729.05203
2023-04-01,5193.68002
2023-05-01,9548.62377
2023-06-01,6385.69198
2023-07-01,6076.86939
2023-08-01,7564.52856
2023-09-01,7777.24894
2023-10-01,7292.83062
2023-11-01,6225.83555
2023-12-01,5437.76890
2024-01-01,5729.61926
2024-02-01,5606.12279
2024-03-01,6073.27502
2024-04-01,6948.36414
2024-05-01,9925.75069
2024-06-01,6067.71765
2024-07-01,8014.37675
2024-08-01,8981.74603
2024-09-01,9617.44677
2024-10-01,8987.26806
2024-11-01,7265.41269
2024-12-01,8693.26213
2025-01-01,10741.83252
2025-02-01,8831.25241
2025-03-01,8289.65107
2025-04-01,13912.28299
2025-05-01,12971.58613
2025-06-01,7019.63879
2025-07-01,14869.42079
2025-08-01,11158.86727
2025-09-01,14125.43345
2025-10-01,15480.81511
2025-11-01,9562.73839
2025-12-01,9344.06011
2026-01-01,8451.40348
2026-02-01,15934.53809
2026-03-01,21539.60390
2026-04-01,22990.47136
2026-05-01,28693.46341
2026-06-01,22111.23025
2026-07-01,26287.56016
2026-08-01,22262.89101
