date,value
2023-01-01,10387.97354
2023-02-01,10755.68754
2023-03-01,13102.23690
2023-04-01,6396.97983
2023-05-01,11476.59718
2023-06-01,13243.43952
2023-07-01,12925.37819
2023-08-01,11863.97694
2023-09-01,12966.11525
2023-10-01,9688.96387
2023-11-01,9958.00261
2023-12-01,10158.20194
2024-01-01,9708.30820
2024-02-01,11536.71456
2024-03-01,10990.77400
2024-04-01,9865.07276
2024-05-01,9820.94088
2024-06-01,9583.31687
2024-07-01,11600.14744
2024-08-01,14409.08010
2024-09-01,15061.47358
2024-10-01,12290.58348
2024-11-01,11480.59024
2024-12-01,13380.08112
2025-01-01,13956.15071
2025-02-01,13957.97875
2025-03-01,16358.63072
2025-04-01,17318.86006
2025-05-01,19559.17338
2025-06-01,17983.83652
2025-07-01,21389.68570
2025-08-01,23953.06546
2025-09-01,22678.31726
2025-10-01,18888.03654
2025-11-01,18817.90613
2025-12-01,19612.04129
2026-01-01,15978.34148
2026-02-01,17002.98293
2026-03-01,16148.53928
2026-04-01,21725.63890
2026-05-01,19221.38226
2026-06-01,14323.55596
2026-07-01,16565.66029
2026-08-01,16552.06090
