date,value
2023-01-01,1613.80535
2023-02-01,2044.51814
2023-03-01,4206.79872
2023-04-01,1851.03949
2023-05-01,3117.19505
2023-06-01,1962.49830
2023-07-01,1367.41291
2023-08-01,1253.95069
2023-09-01,1920.04896
2023-10-01,2291.82912
2023-11-01,3396.02591
2023-12-01,2645.69201
2024-01-01,2130.24329
2024-02-01,2092.35502
2024-03-01,2247.91493
2024-04-01,1624.62874
2024-05-01,2826.83899
2024-06-01,1464.07767
2024-07-01,1282.70739
2024-08-01,997.44977
2024-09-01,1434.69377
2024-10-01,1735.16927
2024-11-01,1340.61565
2024-12-01,1263.87365
2025-01-01,1023.65360
2025-02-01,921.36548
2025-03-01,1090.01242
2025-04-01,928.93392
2025-05-01,1744.01523
2025-06-01,844.79730
2025-07-01,1182.97222
2025-08-01,942.11740
2025-09-01,1607.06112
2025-10-01,2094.18089
2025-11-01,1510.31485
2025-12-01,1253.87768
2026-01-01,2059.76478
2026-02-01,2817.92656
2026-03-01,1098.28906
2026-04-01,1725.29194
2026-05-01,1562.06921
2026-06-01,1611.09551
2026-07-01,1319.19382
2026-08-01,1029.49133
