date,value
2023-01-01,46036.24182
2023-02-01,32129.74930
2023-03-01,51021.25785
2023-04-01,36518.91493
2023-05-01,36972.46115
2023-06-01,35203.19049
2023-07-01,31328.74375
2023-08-01,27512.92060
2023-09-01,26835.37438
2023-10-01,39228.94411
2023-11-01,35392.22885
2023-12-01,34890.61278
2024-01-01,45970.41796
2024-02-01,54366.65805
2024-03-01,49779.05722
2024-04-01,37067.87465
2024-05-01,37349.23105
2024-06-01,26966.33222
2024-07-01,34294.96526
2024-08-01,36511.92576
2024-09-01,46459.98464
2024-10-01,47965.21027
2024-11-01,41536.28935
2024-12-01,60299.60502
2025-01-01,56210.60991
2025-02-01,56911.84785
2025-03-01,57850.20982
2025-04-01,48291.90612
2025-05-01,45269.91287
2025-06-01,43416.72284
2025-07-01,54036.89750
2025-08-01,57898.89127
2025-09-01,78011.05954
2025-10-01,75098.88413
2025-11-01,76293.27507
2025-12-01,58232.47130
2026-01-01,54481.83730
2026-02-01,53280.45569
2026-03-01,46512.95929
2026-04-01,52143.25024
2026-05-01,40225.21314
2026-06-01,35158.20249
2026-07-01,34839.66701
2026-08-01,37626.22905
