date,value
2023-01-01,2035.29491
2023-02-01,1986.80163
2023-03-01,4430.61846
2023-04-01,2004.56344
2023-05-01,2716.82300
2023-06-01,2251.77002
2023-07-01,1528.54420
2023-08-01,1743.38623
2023-09-01,2001.44622
2023-10-01,1250.25687
2023-11-01,1883.45461
2023-12-01,1158.57506
2024-01-01,2246.10264
2024-02-01,2383.87273
2024-03-01,1667.02651
2024-04-01,1072.04835
2024-05-01,1775.18682
2024-06-01,1168.61184
2024-07-01,1559.01407
2024-08-01,1317.12979
2024-09-01,1472.92263
2024-10-01,3018.14651
2024-11-01,1593.97386
2024-12-01,3372.68747
2025-01-01,1428.63457
2025-02-01,2593.90824
2025-03-01,1886.89945
2025-04-01,1274.55176
2025-05-01,1767.14520
2025-06-01,1045.44395
2025-07-01,946.75317
2025-08-01,1327.81267
2025-09-01,1178.82934
2025-10-01,906.68926
2025-11-01,970.39107
2025-12-01,1254.31657
2026-01-01,1719.35515
2026-02-01,1036.78035
2026-03-01,626.16511
2026-04-01,1364.41364
2026-05-01,1055.02019
2026-06-01,839.25030
2026-07-01,708.77461
2026-08-01,818.62949
