date,value
2023-01-01,15544.46944
2023-02-01,7934.61894
2023-03-01,21272.33930
2023-04-01,11935.51381
2023-05-01,10830.64384
2023-06-01,8483.20024
2023-07-01,8778.77402
2023-08-01,9165.88681
2023-09-01,11026.61737
2023-10-01,10689.72179
2023-11-01,9225.00654
2023-12-01,11237.06321
2024-01-01,16369.09539
2024-02-01,13866.22686
2024-03-01,36132.70049
2024-04-01,26238.50947
2024-05-01,21307.14809
2024-06-01,20530.56927
2024-07-01,19278.52408
2024-08-01,21349.08609
2024-09-01,18747.79409
2024-10-01,23861.18635
2024-11-01,21927.56552
2024-12-01,30508.80317
2025-01-01,10411.09005
2025-02-01,33593.94939
2025-03-01,20508.90973
2025-04-01,23006.50487
2025-05-01,20348.83621
2025-06-01,10132.74083
2025-07-01,15832.87550
2025-08-01,15633.04483
2025-09-01,13669.18736
2025-10-01,11104.47290
2025-11-01,31170.54393
2025-12-01,61254.38702
2026-01-01,17933.14230
2026-02-01,52085.59345
2026-03-01,15021.53058
2026-04-01,39799.48450
2026-05-01,46587.26258
2026-06-01,14099.32593
2026-07-01,28442.35184
2026-08-01,50349.51098
