date,value
2023-01-01,10122.68055
2023-02-01,21013.60093
2023-03-01,27617.28441
2023-04-01,8106.63562
2023-05-01,10965.21548
2023-06-01,10127.83245
2023-07-01,8323.47846
2023-08-01,12784.74468
2023-09-01,10234.09317
2023-10-01,13000.02305
2023-11-01,8041.63924
2023-12-01,9447.99318
2024-01-01,9374.04738
2024-02-01,17608.86772
2024-03-01,11968.12310
2024-04-01,5863.13717
2024-05-01,9485.23888
2024-06-01,7059.59000
2024-07-01,8249.08164
2024-08-01,9764.89708
2024-09-01,14132.76466
2024-10-01,15666.01994
2024-11-01,11789.20327
2024-12-01,11912.49348
2025-01-01,10540.40176
2025-02-01,15463.84913
2025-03-01,8610.07491
2025-04-01,9029.92495
2025-05-01,9429.34350
2025-06-01,6298.99401
2025-07-01,7762.16950
2025-08-01,8568.47505
2025-09-01,8561.94503
2025-10-01,10065.74024
2025-11-01,8396.45454
2025-12-01,9688.54602
2026-01-01,12061.93401
2026-02-01,11292.70521
2026-03-01,6095.64382
2026-04-01,12489.28341
2026-05-01,8926.98900
2026-06-01,8611.34096
2026-07-01,9341.95591
2026-08-01,8575.27648
