date,value
2023-01-01,21195.38625
2023-02-01,19236.78797
2023-03-01,24735.14225
2023-04-01,16111.56221
2023-05-01,15374.87782
2023-06-01,13543.52094
2023-07-01,15179.05945
2023-08-01,19409.12557
2023-09-01,18616.13461
2023-10-01,21505.88913
2023-11-01,24438.83379
2023-12-01,22654.50265
2024-01-01,27076.62817
2024-02-01,26897.74177
2024-03-01,25546.33653
2024-04-01,17910.30905
2024-05-01,22759.27104
2024-06-01,18849.23411
2024-07-01,19504.01698
2024-08-01,22490.26634
2024-09-01,24444.85521
2024-10-01,27068.19317
2024-11-01,27858.42815
2024-12-01,28801.80128
2025-01-01,22648.29927
2025-02-01,44903.65920
2025-03-01,38108.77307
2025-04-01,52829.12761
2025-05-01,27760.78757
2025-06-01,23370.93876
2025-07-01,26009.08207
2025-08-01,23810.22472
2025-09-01,27012.77753
2025-10-01,24252.40767
2025-11-01,26656.84786
2025-12-01,35840.99357
2026-01-01,25525.96725
2026-02-01,24667.32105
2026-03-01,18972.07908
2026-04-01,37656.14169
2026-05-01,32178.77964
2026-06-01,26418.15977
2026-07-01,27555.45605
2026-08-01,30541.43293
