date,value
2023-01-01,9584.25815
2023-02-01,11376.32311
2023-03-01,10611.62993
2023-04-01,7440.45552
2023-05-01,9108.81316
2023-06-01,10521.56547
2023-07-01,9596.45419
2023-08-01,12428.45421
2023-09-01,11003.58630
2023-10-01,10764.30964
2023-11-01,9825.25742
2023-12-01,10990.74798
2024-01-01,6897.38816
2024-02-01,13395.69111
2024-03-01,9553.36458
2024-04-01,8590.98286
2024-05-01,12004.11483
2024-06-01,11073.61737
2024-07-01,10017.25586
2024-08-01,10147.72799
2024-09-01,8783.02167
2024-10-01,11124.41907
2024-11-01,11612.04658
2024-12-01,13037.75393
2025-01-01,10427.53263
2025-02-01,11307.31109
2025-03-01,9192.55918
2025-04-01,7132.51254
2025-05-01,9413.37975
2025-06-01,7191.80623
2025-07-01,12184.53220
2025-08-01,9641.78150
2025-09-01,9912.67758
2025-10-01,10772.06510
2025-11-01,10257.80518
2025-12-01,13348.52110
2026-01-01,10870.82674
2026-02-01,10876.99696
2026-03-01,4101.35540
2026-04-01,9526.74672
2026-05-01,8680.22354
2026-06-01,8467.66235
2026-07-01,12144.58390
2026-08-01,9135.52731
