date,value
2023-01-01,9051.47920
2023-02-01,10076.14256
2023-03-01,12556.03206
2023-04-01,9437.04653
2023-05-01,10339.04712
2023-06-01,8769.40081
2023-07-01,9341.35973
2023-08-01,9454.99482
2023-09-01,8593.11526
2023-10-01,13124.12224
2023-11-01,13295.28361
2023-12-01,12072.79130
2024-01-01,9526.66759
2024-02-01,13325.51392
2024-03-01,16053.68593
2024-04-01,9704.32193
2024-05-01,13232.21755
2024-06-01,8231.85790
2024-07-01,10945.05329
2024-08-01,11802.92716
2024-09-01,10499.00398
2024-10-01,12193.08957
2024-11-01,10858.47925
2024-12-01,14906.94346
2025-01-01,12858.84914
2025-02-01,12190.30293
2025-03-01,13967.26233
2025-04-01,14194.56610
2025-05-01,12875.01927
2025-06-01,7919.86198
2025-07-01,8332.06854
2025-08-01,8942.62643
2025-09-01,8742.74068
2025-10-01,9039.15626
2025-11-01,9048.21849
2025-12-01,10264.70203
2026-01-01,7218.78861
2026-02-01,9377.41338
2026-03-01,6072.82808
2026-04-01,8088.44750
2026-05-01,7810.65300
2026-06-01,5756.07146
2026-07-01,6474.95904
2026-08-01,7674.37616
