date,value
2023-01-01,3796.28859
2023-02-01,1326.19410
2023-03-01,3662.04138
2023-04-01,2203.17479
2023-05-01,1759.65742
2023-06-01,2108.26562
2023-07-01,1096.56856
2023-08-01,1378.61405
2023-09-01,3768.00540
2023-10-01,2087.60581
2023-11-01,1233.54038
2023-12-01,3045.92985
2024-01-01,1730.22564
2024-02-01,3232.70527
2024-03-01,2888.65552
2024-04-01,767.21068
2024-05-01,2001.55380
2024-06-01,1074.43795
2024-07-01,2002.89869
2024-08-01,2135.66228
2024-09-01,1491.43789
2024-10-01,3270.24324
2024-11-01,2886.86110
2024-12-01,3534.25488
2025-01-01,3340.70986
2025-02-01,1854.78339
2025-03-01,1091.73549
2025-04-01,1313.45955
2025-05-01,1516.85133
2025-06-01,520.89168
2025-07-01,1516.20816
2025-08-01,976.77488
2025-09-01,568.96013
2025-10-01,273.29074
2025-11-01,1193.08754
2025-12-01,950.43194
2026-01-01,2379.01735
2026-02-01,649.34169
2026-03-01,307.19622
2026-04-01,910.60202
2026-05-01,371.59544
2026-06-01,466.17399
2026-07-01,1089.58252
2026-08-01,1099.41596
