date,value
2023-01-01,492.51762
2023-02-01,457.49373
2023-03-01,1131.83614
2023-04-01,636.04413
2023-05-01,1264.78508
2023-06-01,564.84941
2023-07-01,666.69273
2023-08-01,1045.27186
2023-09-01,1392.91815
2023-10-01,1124.99172
2023-11-01,1005.87064
2023-12-01,1194.40384
2024-01-01,495.78642
2024-02-01,1126.53802
2024-03-01,1067.84650
2024-04-01,1025.78429
2024-05-01,1405.43143
2024-06-01,456.65450
2024-07-01,608.11644
2024-08-01,1099.88106
2024-09-01,1216.57399
2024-10-01,1436.45675
2024-11-01,1377.77632
2024-12-01,1282.16091
2025-01-01,1178.23976
2025-02-01,951.12067
2025-03-01,1357.93996
2025-04-01,1045.22937
2025-05-01,872.31160
2025-06-01,1002.49405
2025-07-01,537.30713
2025-08-01,883.00549
2025-09-01,935.35926
2025-10-01,1278.16172
2025-11-01,1226.26504
2025-12-01,1476.44193
2026-01-01,591.95698
2026-02-01,834.07623
2026-03-01,990.63368
2026-04-01,1256.27046
2026-05-01,1310.54788
2026-06-01,1018.75664
2026-07-01,1103.30657
2026-08-01,815.95117
