date,value
2023-01-01,1965.53917
2023-02-01,2357.46934
2023-03-01,2768.59907
2023-04-01,4120.86437
2023-05-01,4378.82571
2023-06-01,2571.35135
2023-07-01,3017.15887
2023-08-01,4237.46476
2023-09-01,3740.15556
2023-10-01,2869.92858
2023-11-01,3902.50297
2023-12-01,4482.27421
2024-01-01,3033.75975
2024-02-01,4172.66048
2024-03-01,3257.77069
2024-04-01,2828.51121
2024-05-01,3740.51706
2024-06-01,2330.62742
2024-07-01,3710.42403
2024-08-01,5023.04963
2024-09-01,2800.16526
2024-10-01,3505.75394
2024-11-01,3351.60188
2024-12-01,3321.50049
2025-01-01,2523.40847
2025-02-01,4439.87786
2025-03-01,4451.76392
2025-04-01,4185.51962
2025-05-01,3642.85387
2025-06-01,1949.75411
2025-07-01,2861.89081
2025-08-01,4204.84673
2025-09-01,4064.07857
2025-10-01,4391.33517
2025-11-01,3666.47256
2025-12-01,4180.88473
2026-01-01,2054.19358
2026-02-01,3053.96448
2026-03-01,2884.99866
2026-04-01,3344.89529
2026-05-01,2654.75922
2026-06-01,3519.20426
2026-07-01,2603.18648
2026-08-01,1716.90539
