date,value
2023-01-01,1319.95850
2023-02-01,1544.17584
2023-03-01,1473.37032
2023-04-01,1256.31489
2023-05-01,2402.35186
2023-06-01,1325.59952
2023-07-01,1423.44775
2023-08-01,2414.42064
2023-09-01,2618.16398
2023-10-01,1394.90408
2023-11-01,2185.69188
2023-12-01,2221.36630
2024-01-01,1202.85192
2024-02-01,1888.67121
2024-03-01,1930.99501
2024-04-01,1656.54172
2024-05-01,2945.08650
2024-06-01,1288.79934
2024-07-01,1369.54911
2024-08-01,2450.76117
2024-09-01,2766.48291
2024-10-01,3130.12220
2024-11-01,2705.93701
2024-12-01,2243.39561
2025-01-01,1712.65629
2025-02-01,2069.74100
2025-03-01,1852.43544
2025-04-01,1748.56885
2025-05-01,1625.46238
2025-06-01,1454.73520
2025-07-01,1934.17959
2025-08-01,1486.94681
2025-09-01,1349.72375
2025-10-01,1743.56823
2025-11-01,1470.32115
2025-12-01,1896.71934
2026-01-01,1769.49233
2026-02-01,1872.86996
2026-03-01,2073.55398
2026-04-01,2149.98208
2026-05-01,1736.63983
2026-06-01,2162.70747
2026-07-01,2267.72809
2026-08-01,1692.13027
