date,value
2023-01-01,12614.28606
2023-02-01,12942.12787
2023-03-01,17064.70896
2023-04-01,11837.57802
2023-05-01,11428.41056
2023-06-01,11959.44962
2023-07-01,11053.42653
2023-08-01,11252.51469
2023-09-01,12991.59471
2023-10-01,10130.02185
2023-11-01,9847.70741
2023-12-01,9956.05000
2024-01-01,12016.54244
2024-02-01,12065.79068
2024-03-01,13409.39411
2024-04-01,10217.00294
2024-05-01,14924.72944
2024-06-01,10778.72109
2024-07-01,13915.41631
2024-08-01,14625.20528
2024-09-01,14377.28983
2024-10-01,14287.89288
2024-11-01,13775.37241
2024-12-01,9659.33167
2025-01-01,12359.67738
2025-02-01,11679.70937
2025-03-01,12465.20184
2025-04-01,9270.56922
2025-05-01,10706.30953
2025-06-01,8896.22049
2025-07-01,11244.85887
2025-08-01,10549.24420
2025-09-01,12712.66879
2025-10-01,11455.39161
2025-11-01,8871.02972
2025-12-01,9546.87997
2026-01-01,10649.37653
2026-02-01,10859.33875
2026-03-01,11869.19491
2026-04-01,10227.78046
2026-05-01,10140.99543
2026-06-01,10111.61216
2026-07-01,12700.53137
2026-08-01,9393.20605
