date,value
2023-01-01,2667.20588
2023-02-01,2921.96202
2023-03-01,3502.99570
2023-04-01,2776.23214
2023-05-01,2813.70868
2023-06-01,2132.61421
2023-07-01,4071.67398
2023-08-01,11815.02852
2023-09-01,11888.72345
2023-10-01,3580.79417
2023-11-01,4255.75265
2023-12-01,2926.57936
2024-01-01,4774.18547
2024-02-01,4617.39902
2024-03-01,4336.79282
2024-04-01,4476.95258
2024-05-01,3391.03257
2024-06-01,5062.35307
2024-07-01,5980.75425
2024-08-01,5950.95688
2024-09-01,8568.31669
2024-10-01,7901.47890
2024-11-01,8830.00334
2024-12-01,6064.42376
2025-01-01,8131.51492
2025-02-01,5431.94711
2025-03-01,6792.83580
2025-04-01,6100.77796
2025-05-01,3420.05485
2025-06-01,3875.50620
2025-07-01,3563.71556
2025-08-01,2970.79643
2025-09-01,3752.24431
2025-10-01,4358.92947
2025-11-01,3135.02684
2025-12-01,5233.01273
2026-01-01,4527.52785
2026-02-01,5553.84250
2026-03-01,3024.31426
2026-04-01,3270.78058
2026-05-01,3248.69947
2026-06-01,3501.76736
2026-07-01,3512.03108
2026-08-01,3004.15661
