date,value
2019-01-01,1195.66280
2019-02-01,1194.98706
2019-03-01,1307.58616
2019-04-01,1235.49808
2019-05-01,1355.66268
2019-06-01,877.98787
2019-07-01,1242.22953
2019-08-01,1020.89652
2019-09-01,1137.03582
2019-10-01,1172.68926
2019-11-01,990.52791
2019-12-01,1126.97545
2020-01-01,1135.82891
2020-02-01,997.63579
2020-03-01,980.85860
2020-04-01,901.09362
2020-05-01,814.29716
2020-06-01,1121.12289
2020-07-01,1036.75333
2020-08-01,871.21990
2020-09-01,1097.57921
2020-10-01,1110.61598
2020-11-01,1224.91357
2020-12-01,1383.25996
2021-01-01,1052.77198
2021-02-01,1191.75981
2021-03-01,1526.16391
2021-04-01,1650.53485
2021-05-01,1727.67009
2021-06-01,2007.81650
2021-07-01,1727.22000
2021-08-01,2255.38009
2021-09-01,2602.63584
2021-10-01,2290.30949
2021-11-01,2046.03558
2021-12-01,2273.11458
2022-01-01,1624.86877
2022-02-01,1746.72888
2022-03-01,2254.35397
2022-04-01,2016.33841
2022-05-01,1903.13532
2022-06-01,2283.67661
2022-07-01,1598.88986
2022-08-01,1808.19725
2022-09-01,1758.70429
2022-10-01,1380.92081
2022-11-01,1347.20664
2022-12-01,1339.54767
2023-01-01,1105.69959
2023-02-01,1056.07055
2023-03-01,1388.52564
2023-04-01,1063.45891
2023-05-01,1249.31454
2023-06-01,1314.44524
2023-07-01,1153.71271
2023-08-01,1338.98767
2023-09-01,1372.34036
2023-10-01,1315.16655
2023-11-01,1164.88442
2023-12-01,1355.23005
2024-01-01,1113.64860
2024-02-01,1375.34940
2024-03-01,1467.72299
2024-04-01,1192.17221
2024-05-01,1452.13492
2024-06-01,1312.48353
2024-07-01,1415.87630
2024-08-01,1404.78612
2024-09-01,1466.70526
2024-10-01,1254.36877
2024-11-01,1247.71441
2024-12-01,1446.36877
2025-01-01,1244.22220
2025-02-01,1232.21162
2025-03-01,1539.13452
2025-04-01,1297.93716
2025-05-01,1496.08771
2025-06-01,1427.12598
2025-07-01,1350.84836
2025-08-01,1363.72191
2025-09-01,1480.49214
2025-10-01,1285.36318
2025-11-01,1314.76628
2025-12-01,1509.66213
2026-01-01,1079.06312
2026-02-01,1174.74188
2026-03-01,1529.23536
2026-04-01,1421.80313
2026-05-01,1418.28455
2026-06-01,1742.91765
2026-07-01,1374.19451
2026-08-01,1531.22280
