date,value
2019-01-01,152.19642
2019-02-01,144.39791
2019-03-01,136.20095
2019-04-01,135.92620
2019-05-01,132.55801
2019-06-01,75.88916
2019-07-01,112.64626
2019-08-01,66.64080
2019-09-01,275.68520
2019-10-01,347.01789
2019-11-01,265.38895
2019-12-01,187.93159
2020-01-01,183.29951
2020-02-01,163.09392
2020-03-01,207.43628
2020-04-01,196.61833
2020-05-01,120.08322
2020-06-01,120.70879
2020-07-01,136.48130
2020-08-01,92.43069
2020-09-01,222.69133
2020-10-01,172.59717
2020-11-01,155.82180
2020-12-01,175.72657
2021-01-01,190.66047
2021-02-01,201.16737
2021-03-01,183.44124
2021-04-01,165.69797
2021-05-01,147.22688
2021-06-01,148.13203
2021-07-01,131.22223
2021-08-01,111.89659
2021-09-01,202.52356
2021-10-01,251.16407
2021-11-01,278.99148
2021-12-01,248.57398
2022-01-01,181.95072
2022-02-01,165.83579
2022-03-01,147.56407
2022-04-01,124.82516
2022-05-01,99.42129
2022-06-01,111.70549
2022-07-01,86.22948
2022-08-01,91.21278
2022-09-01,135.57910
2022-10-01,178.08201
2022-11-01,224.28545
2022-12-01,204.36384
2023-01-01,141.95490
2023-02-01,155.57424
2023-03-01,155.77783
2023-04-01,124.19592
2023-05-01,142.78386
2023-06-01,118.58545
2023-07-01,125.97050
2023-08-01,91.49029
2023-09-01,151.50011
2023-10-01,204.93444
2023-11-01,214.02652
2023-12-01,239.94135
2024-01-01,206.12833
2024-02-01,196.79517
2024-03-01,200.89099
2024-04-01,176.57971
2024-05-01,234.75070
2024-06-01,151.40528
2024-07-01,214.67438
2024-08-01,161.89392
2024-09-01,194.32392
2024-10-01,322.28415
2024-11-01,291.59864
2024-12-01,288.02041
2025-01-01,207.20755
2025-02-01,216.04049
2025-03-01,217.16329
2025-04-01,208.73765
2025-05-01,184.27737
2025-06-01,139.78483
2025-07-01,164.45327
2025-08-01,123.25722
2025-09-01,144.85974
2025-10-01,204.44150
2025-11-01,197.05657
2025-12-01,249.02794
2026-01-01,176.90409
2026-02-01,202.58390
2026-03-01,267.94555
2026-04-01,328.43552
2026-05-01,212.07194
2026-06-01,240.97222
2026-07-01,186.70429
2026-08-01,116.13260
