date,value
2017-01-01,98.80000
2017-02-01,93.90000
2017-03-01,91.50000
2017-04-01,104.80000
2017-05-01,117.80000
2017-06-01,118.00000
2017-07-01,122.80000
2017-08-01,125.40000
2017-09-01,128.60000
2017-10-01,135.10000
2017-11-01,138.20000
2017-12-01,150.60000
2018-01-01,139.80000
2018-02-01,125.60000
2018-03-01,110.30000
2018-04-01,117.90000
2018-05-01,126.10000
2018-06-01,119.20000
2018-07-01,119.10000
2018-08-01,108.00000
2018-09-01,107.20000
2018-10-01,102.10000
2018-11-01,103.50000
2018-12-01,107.80000
2019-01-01,114.60000
2019-02-01,100.10000
2019-03-01,86.70000
2019-04-01,93.10000
2019-05-01,99.60000
2019-06-01,93.70000
2019-07-01,96.50000
2019-08-01,90.10000
2019-09-01,97.10000
2019-10-01,99.20000
2019-11-01,106.40000
2019-12-01,118.00000
2020-01-01,96.60000
2020-02-01,86.50000
2020-03-01,71.50000
2020-04-01,72.50000
2020-05-01,73.20000
2020-06-01,81.30000
2020-07-01,92.60000
2020-08-01,100.80000
2020-09-01,105.70000
2020-10-01,109.50000
2020-11-01,114.30000
2020-12-01,125.30000
2021-01-01,98.40000
2021-02-01,90.40000
2021-03-01,79.20000
2021-04-01,86.40000
2021-05-01,87.90000
2021-06-01,92.20000
2021-07-01,92.40000
2021-08-01,103.40000
2021-09-01,109.20000
2021-10-01,117.00000
2021-11-01,119.30000
2021-12-01,124.20000
2022-01-01,97.60000
2022-02-01,87.50000
2022-03-01,80.40000
2022-04-01,93.40000
2022-05-01,95.40000
2022-06-01,100.00000
2022-07-01,90.10000
2022-08-01,99.50000
2022-09-01,96.30000
2022-10-01,106.60000
2022-11-01,109.70000
2022-12-01,121.20000
2023-01-01,103.50000
2023-02-01,93.20000
2023-03-01,91.00000
2023-04-01,93.90000
2023-05-01,108.30000
2023-06-01,107.20000
2023-07-01,109.00000
2023-08-01,110.40000
2023-09-01,115.00000
2023-10-01,122.70000
2023-11-01,126.20000
2023-12-01,141.90000
2024-01-01,127.70000
2024-02-01,123.50000
2024-03-01,111.10000
2024-04-01,111.20000
2024-05-01,117.70000
2024-06-01,113.40000
2024-07-01,123.90000
2024-08-01,122.10000
2024-09-01,127.30000
2024-10-01,130.90000
2024-11-01,139.60000
2024-12-01,162.50000
2025-01-01,143.50000
2025-02-01,133.50000
2025-03-01,115.60000
2025-04-01,119.80000
2025-05-01,135.40000
2025-06-01,135.30000
2025-07-01,145.80000
2025-08-01,143.90000
2025-09-01,155.60000
2025-10-01,156.70000
2025-11-01,159.60000
2025-12-01,175.50000
2026-01-01,155.30000
2026-02-01,139.70000
2026-03-01,110.20000
2026-04-01,121.20000
2026-05-01,122.80000
2026-06-01,130.20000
2026-07-01,134.30000
