date,value
2011-09-01,8215.00000
2011-10-01,8857.00000
2011-11-01,7848.00000
2011-12-01,13286.00000
2012-01-01,7373.00000
2012-02-01,6169.00000
2012-03-01,7073.00000
2012-04-01,6882.00000
2012-05-01,8191.00000
2012-06-01,8812.00000
2012-07-01,8785.00000
2012-08-01,7322.00000
2012-09-01,7618.00000
2012-10-01,8676.00000
2012-11-01,9987.00000
2012-12-01,12394.00000
2013-01-01,9729.00000
2013-02-01,7978.00000
2013-03-01,8114.00000
2013-04-01,8912.00000
2013-05-01,9999.00000
2013-06-01,9683.00000
2013-07-01,11980.00000
2013-08-01,8787.00000
2013-09-01,11094.00000
2013-10-01,9634.00000
2013-11-01,12369.00000
2013-12-01,17315.00000
2014-01-01,11966.00000
2014-02-01,12750.00000
2014-03-01,24215.00000
2014-04-01,7918.00000
2014-05-01,8129.00000
2014-06-01,9027.00000
2014-07-01,8694.00000
2014-08-01,8342.00000
2014-09-01,9312.00000
2014-10-01,7098.00000
2014-11-01,9101.00000
2014-12-01,13275.00000
2015-01-01,8577.00000
2015-02-01,7699.00000
2015-03-01,8413.00000
2015-04-01,9249.00000
2015-05-01,9374.00000
2015-06-01,11282.00000
2015-07-01,9312.00000
2015-08-01,9269.00000
2015-09-01,8575.00000
2015-10-01,9768.00000
2015-11-01,9733.00000
2015-12-01,14339.00000
2016-01-01,8063.00000
2016-02-01,8390.00000
2016-03-01,9453.00000
2016-04-01,9049.00000
2016-05-01,9739.00000
2016-06-01,11228.00000
2016-07-01,6736.00000
2016-08-01,10217.00000
2016-09-01,7912.00000
2016-10-01,9956.00000
2016-11-01,11879.00000
2016-12-01,14510.00000
2017-01-01,9732.00000
2017-02-01,8487.00000
2017-03-01,10117.00000
2017-04-01,9332.00000
2017-05-01,10412.00000
2017-06-01,9546.00000
2017-07-01,9467.00000
2017-08-01,10316.00000
2017-09-01,9232.00000
2017-10-01,11371.00000
2017-11-01,11559.00000
2017-12-01,13953.00000
2018-01-01,10494.00000
2018-02-01,9186.00000
2018-03-01,10580.00000
2018-04-01,9588.00000
2018-05-01,11512.00000
2018-06-01,9381.00000
2018-07-01,11894.00000
2018-08-01,9180.00000
2018-09-01,10880.00000
2018-10-01,12537.00000
2018-11-01,12790.00000
2018-12-01,14951.00000
2019-01-01,9212.00000
2019-02-01,9020.00000
2019-03-01,14496.00000
2019-04-01,7634.00000
2019-05-01,8151.00000
2019-06-01,4806.00000
2019-07-01,7565.00000
2019-08-01,5937.00000
2019-09-01,6968.00000
2019-10-01,7069.00000
2019-11-01,7240.00000
2019-12-01,10167.00000
2020-01-01,6853.00000
2020-02-01,6236.00000
2020-03-01,6286.00000
2020-04-01,4112.00000
2020-05-01,3983.00000
2020-06-01,7282.00000
2020-07-01,7944.00000
2020-08-01,6547.00000
2020-09-01,7492.00000
2020-10-01,7724.00000
2020-11-01,7149.00000
2020-12-01,10422.00000
2021-01-01,7186.00000
2021-02-01,6864.00000
2021-03-01,8483.00000
2021-04-01,7165.00000
2021-05-01,4387.00000
2021-06-01,8073.00000
2021-07-01,7045.00000
2021-08-01,7730.00000
2021-09-01,8527.00000
2021-10-01,8885.00000
2021-11-01,9315.00000
2021-12-01,14293.00000
2022-01-01,7729.00000
2022-02-01,7306.00000
2022-03-01,8569.00000
2022-04-01,8901.00000
2022-05-01,6300.00000
2022-06-01,9050.00000
2022-07-01,6749.00000
2022-08-01,9030.00000
2022-09-01,8699.00000
2022-10-01,8687.00000
2022-11-01,9137.00000
2022-12-01,14933.00000
2023-01-01,9251.00000
2023-02-01,5860.00000
2023-03-01,6499.00000
2023-04-01,5644.00000
2023-05-01,7234.00000
2023-06-01,6122.00000
2023-07-01,6079.00000
2023-08-01,7539.00000
2023-09-01,7154.00000
2023-10-01,7666.00000
2023-11-01,7560.00000
2023-12-01,15105.00000
2024-01-01,8954.00000
2024-02-01,8281.00000
2024-03-01,13706.00000
2024-04-01,4986.00000
2024-05-01,6661.00000
2024-06-01,5032.00000
2024-07-01,6934.00000
2024-08-01,7411.00000
2024-09-01,7581.00000
2024-10-01,8272.00000
2024-11-01,8873.00000
2024-12-01,17313.00000
2025-01-01,8760.00000
2025-02-01,7304.00000
2025-03-01,6793.00000
2025-04-01,5250.00000
2025-05-01,7209.00000
2025-06-01,7413.00000
2025-07-01,7037.00000
2025-08-01,7293.00000
2025-09-01,8997.00000
2025-10-01,9278.00000
2025-11-01,8549.00000
2025-12-01,18786.00000
2026-01-01,8973.00000
2026-02-01,7916.00000
2026-03-01,7121.00000
2026-04-01,7842.00000
2026-05-01,6151.00000
2026-06-01,8596.00000
