date,value
2011-09-01,41494.00000
2011-10-01,66482.00000
2011-11-01,49232.00000
2011-12-01,104029.00000
2012-01-01,40912.00000
2012-02-01,46511.00000
2012-03-01,62492.00000
2012-04-01,61937.00000
2012-05-01,95905.00000
2012-06-01,65263.00000
2012-07-01,64162.00000
2012-08-01,56282.00000
2012-09-01,55416.00000
2012-10-01,66172.00000
2012-11-01,69732.00000
2012-12-01,88525.00000
2013-01-01,44758.00000
2013-02-01,50884.00000
2013-03-01,67652.00000
2013-04-01,74583.00000
2013-05-01,94975.00000
2013-06-01,76998.00000
2013-07-01,74360.00000
2013-08-01,58772.00000
2013-09-01,67811.00000
2013-10-01,57291.00000
2013-11-01,71551.00000
2013-12-01,102361.00000
2014-01-01,69233.00000
2014-02-01,74564.00000
2014-03-01,155557.00000
2014-04-01,73490.00000
2014-05-01,128277.00000
2014-06-01,87249.00000
2014-07-01,64371.00000
2014-08-01,86129.00000
2014-09-01,89491.00000
2014-10-01,47993.00000
2014-11-01,64588.00000
2014-12-01,93969.00000
2015-01-01,52066.00000
2015-02-01,57743.00000
2015-03-01,78846.00000
2015-04-01,78826.00000
2015-05-01,81984.00000
2015-06-01,88552.00000
2015-07-01,72560.00000
2015-08-01,74849.00000
2015-09-01,64734.00000
2015-10-01,63305.00000
2015-11-01,73992.00000
2015-12-01,118265.00000
2016-01-01,85120.00000
2016-02-01,86149.00000
2016-03-01,94865.00000
2016-04-01,86224.00000
2016-05-01,85131.00000
2016-06-01,82982.00000
2016-07-01,54327.00000
2016-08-01,77466.00000
2016-09-01,67284.00000
2016-10-01,80139.00000
2016-11-01,89076.00000
2016-12-01,129319.00000
2017-01-01,71378.00000
2017-02-01,71184.00000
2017-03-01,101572.00000
2017-04-01,100105.00000
2017-05-01,101096.00000
2017-06-01,231721.00000
2017-07-01,106521.00000
2017-08-01,100412.00000
2017-09-01,335268.00000
2017-10-01,67040.00000
2017-11-01,50676.00000
2017-12-01,82677.00000
2018-01-01,47803.00000
2018-02-01,43652.00000
2018-03-01,53422.00000
2018-04-01,59234.00000
2018-05-01,87230.00000
2018-06-01,77596.00000
2018-07-01,62457.00000
2018-08-01,37509.00000
2018-09-01,43718.00000
2018-10-01,43849.00000
2018-11-01,42112.00000
2018-12-01,88682.00000
2019-01-01,22517.00000
2019-02-01,21021.00000
2019-03-01,34951.00000
2019-04-01,17327.00000
2019-05-01,18367.00000
2019-06-01,9765.00000
2019-07-01,16904.00000
2019-08-01,19611.00000
2019-09-01,19854.00000
2019-10-01,21559.00000
2019-11-01,45265.00000
2019-12-01,77774.00000
2020-01-01,22888.00000
2020-02-01,25189.00000
2020-03-01,33534.00000
2020-04-01,29658.00000
2020-05-01,29451.00000
2020-06-01,79407.00000
2020-07-01,58360.00000
2020-08-01,37472.00000
2020-09-01,47497.00000
2020-10-01,48035.00000
2020-11-01,51565.00000
2020-12-01,100677.00000
2021-01-01,44416.00000
2021-02-01,46285.00000
2021-03-01,88480.00000
2021-04-01,62635.00000
2021-05-01,38818.00000
2021-06-01,59689.00000
2021-07-01,49219.00000
2021-08-01,50149.00000
2021-09-01,54072.00000
2021-10-01,56210.00000
2021-11-01,59879.00000
2021-12-01,132512.00000
2022-01-01,34898.00000
2022-02-01,40081.00000
2022-03-01,64007.00000
2022-04-01,45592.00000
2022-05-01,40769.00000
2022-06-01,63499.00000
2022-07-01,37936.00000
2022-08-01,53700.00000
2022-09-01,59697.00000
2022-10-01,56839.00000
2022-11-01,66766.00000
2022-12-01,157813.00000
2023-01-01,49005.00000
2023-02-01,36194.00000
2023-03-01,49117.00000
2023-04-01,57118.00000
2023-05-01,68514.00000
2023-06-01,78644.00000
2023-07-01,66375.00000
2023-08-01,79941.00000
2023-09-01,79066.00000
2023-10-01,74245.00000
2023-11-01,76814.00000
2023-12-01,209789.00000
2024-01-01,40343.00000
2024-02-01,62125.00000
2024-03-01,105112.00000
2024-04-01,48429.00000
2024-05-01,60403.00000
2024-06-01,44841.00000
2024-07-01,62769.00000
2024-08-01,59205.00000
2024-09-01,61077.00000
2024-10-01,71996.00000
2024-11-01,67619.00000
2024-12-01,169974.00000
2025-01-01,56268.00000
2025-02-01,45069.00000
2025-03-01,68217.00000
2025-04-01,64593.00000
2025-05-01,109645.00000
2025-06-01,135779.00000
2025-07-01,88617.00000
2025-08-01,102397.00000
2025-09-01,94328.00000
2025-10-01,100729.00000
2025-11-01,92277.00000
2025-12-01,233538.00000
2026-01-01,64450.00000
2026-02-01,86533.00000
2026-03-01,83367.00000
2026-04-01,95954.00000
2026-05-01,76691.00000
2026-06-01,107818.00000
