date,value
2014-03-07,0.22994
2014-03-14,0.23907
2014-03-21,0.26258
2014-03-28,0.27992
2014-04-04,0.26378
2014-04-11,0.26208
2014-04-18,0.27229
2014-04-25,0.26450
2014-05-02,0.28296
2014-05-09,0.26286
2014-05-16,0.27136
2014-05-23,0.26240
2014-05-30,0.28796
2014-06-06,0.26339
2014-06-13,0.27560
2014-06-20,0.28316
2014-06-27,0.28736
2014-07-04,0.28348
2014-07-11,0.26965
2014-07-18,0.28318
2014-07-25,0.30745
2014-08-01,0.15339
2014-08-08,0.26562
2014-08-15,0.27329
2014-08-22,0.27475
2014-08-29,0.28864
2014-09-05,0.26428
2014-09-12,0.27206
2014-09-19,0.27435
2014-09-26,0.28105
2014-10-03,0.31321
2014-10-10,0.15679
2014-10-17,0.29155
2014-10-24,0.29753
2014-10-31,0.31402
2014-11-07,0.30250
2014-11-14,0.31192
2014-11-21,0.32005
2014-11-28,0.36763
2014-12-05,0.34432
2014-12-12,0.30912
2014-12-19,0.34051
2014-12-26,0.33084
2015-01-02,0.32778
2015-01-09,0.28474
2015-01-16,0.28177
2015-01-23,0.27822
2015-01-30,0.30023
2015-02-06,0.27150
2015-02-13,0.26504
2015-02-20,0.26364
2015-02-27,0.30903
2015-03-06,0.31040
2015-03-13,0.30574
2015-03-20,0.31145
2015-03-27,0.31757
2015-04-03,0.33336
2015-04-10,0.31861
2015-04-17,0.33927
2015-04-24,0.32880
2015-05-01,0.38384
2015-05-08,0.34460
2015-05-15,0.35205
2015-05-22,0.34615
2015-05-29,0.37516
2015-06-05,0.34252
2015-06-12,0.34266
2015-06-19,0.34806
2015-06-26,0.35233
2015-07-03,0.39263
2015-07-10,0.36671
2015-07-17,0.32772
2015-07-24,0.28541
2015-07-31,0.38749
2015-08-07,0.34400
2015-08-14,0.34703
2015-08-21,0.35374
2015-08-28,0.36654
2015-09-04,0.36942
2015-09-11,0.33612
2015-09-18,0.37061
2015-09-25,0.24371
2015-10-02,0.34137
2015-10-09,0.34815
2015-10-16,0.35640
2015-10-23,0.35145
2015-10-30,0.36346
2015-11-06,0.36681
2015-11-13,0.36815
2015-11-20,0.37326
2015-11-27,0.39355
2015-12-04,0.44847
2015-12-11,0.41069
2015-12-18,0.42373
2015-12-25,0.38535
2016-01-01,0.45469
2016-01-08,0.31711
2016-01-15,0.32972
2016-01-22,0.32014
2016-01-29,0.33156
2016-02-05,0.32802
2016-02-12,0.30957
2016-02-19,0.33509
2016-02-26,0.33102
2016-03-04,0.37061
2016-03-11,0.35077
2016-03-18,0.35392
2016-03-25,0.34439
2016-04-01,0.41314
2016-04-08,0.38172
2016-04-15,0.38602
2016-04-22,0.41262
2016-04-29,0.41643
2016-05-06,0.38961
2016-05-13,0.38455
2016-05-20,0.37385
2016-05-27,0.38705
2016-06-03,0.41844
2016-06-10,0.35389
2016-06-17,0.38123
2016-06-24,0.38811
2016-07-01,0.49115
2016-07-08,0.17097
2016-07-15,0.37587
2016-07-22,0.34076
2016-07-29,0.40365
2016-08-05,0.37067
2016-08-12,0.77616
2016-08-19,0.37037
2016-08-26,0.36803
2016-09-02,0.40389
2016-09-09,0.40203
2016-09-16,0.13628
2016-09-23,0.36696
2016-09-30,0.51827
2016-10-07,0.38192
2016-10-14,0.37358
2016-10-21,0.38192
2016-10-28,0.40386
2016-11-04,0.44257
2016-11-11,0.41428
2016-11-18,0.42988
2016-11-25,0.41953
2016-12-02,0.51883
2016-12-09,0.44148
2016-12-16,0.44906
2016-12-23,0.41670
2016-12-30,0.48327
2017-01-06,0.35535
2017-01-13,0.32735
2017-01-20,0.35151
2017-01-27,0.35924
2017-02-03,0.38240
2017-02-10,0.34885
2017-02-17,0.35770
2017-02-24,0.35218
2017-03-03,0.44816
2017-03-10,0.38903
2017-03-17,0.39475
2017-03-24,0.38773
2017-03-31,0.47650
2017-04-07,0.42649
2017-04-14,0.42971
2017-04-21,0.44515
2017-04-28,0.48954
2017-05-05,0.44374
2017-05-12,0.44119
2017-05-19,0.44056
2017-05-26,0.43246
2017-06-02,0.47503
2017-06-09,0.43319
2017-06-16,0.48490
2017-06-23,0.50047
2017-06-30,0.36289
2017-07-07,0.46375
2017-07-14,0.47271
2017-07-21,0.45029
2017-07-28,0.47188
2017-08-04,0.48906
2017-08-11,0.45373
2017-08-18,0.45539
2017-08-25,0.47316
2017-09-01,0.41230
2017-09-08,0.30263
2017-09-15,0.46200
2017-09-22,0.44906
2017-09-29,0.51449
2017-10-06,0.47667
2017-10-13,0.46730
2017-10-20,0.46522
2017-10-27,0.49153
2017-11-03,0.53272
2017-11-10,0.47845
2017-11-17,0.49574
2017-11-24,0.54244
2017-12-01,0.60081
2017-12-08,0.53551
2017-12-15,0.52424
2017-12-22,0.53085
2017-12-29,0.64576
2018-01-05,0.41471
2018-01-12,0.41122
2018-01-19,0.41533
2018-01-26,0.42798
2018-02-02,0.48123
2018-02-09,0.40818
2018-02-16,0.42188
2018-02-23,0.43437
2018-03-02,0.51987
2018-03-09,0.44288
2018-03-16,0.48683
2018-03-23,0.48258
2018-03-30,0.55637
2018-04-06,0.53293
2018-04-13,0.52317
2018-04-20,0.54679
2018-04-27,0.53088
2018-05-04,0.55027
2018-05-11,0.50084
2018-05-18,0.52021
2018-05-25,0.49852
2018-06-01,0.60655
2018-06-08,0.51567
2018-06-15,0.49256
2018-06-22,0.43915
2018-06-29,0.66072
2018-07-06,0.56231
2018-07-13,0.53924
2018-07-20,0.53310
2018-07-27,0.53830
2018-08-03,0.59186
2018-08-10,0.44739
2018-08-17,0.64142
2018-08-24,0.20442
2018-08-31,0.61339
2018-09-07,0.57321
2018-09-14,0.55450
2018-09-21,0.54557
2018-09-28,0.59934
2018-10-05,0.55242
2018-10-12,0.51188
2018-10-19,0.51691
2018-10-26,0.51588
2018-11-02,0.58705
2018-11-09,0.53385
2018-11-16,0.57750
2018-11-23,0.57366
2018-11-30,0.67139
2018-12-07,0.58327
2018-12-14,0.58327
2018-12-21,0.58818
2018-12-28,0.73622
2019-01-04,0.48666
2019-01-11,0.46466
2019-01-18,0.47244
2019-01-25,0.45269
2019-02-01,0.53519
2019-02-08,0.46845
2019-02-15,0.46478
2019-02-22,0.47960
2019-03-01,0.56373
2019-03-08,0.51005
2019-03-15,0.52837
2019-03-22,0.56463
2019-03-29,0.65116
2019-04-05,0.54885
2019-04-12,0.49138
2019-04-19,0.57759
2019-04-26,0.55499
2019-05-03,0.67095
2019-05-10,0.50583
2019-05-17,0.50926
2019-05-24,0.59904
2019-05-31,0.75685
2019-06-07,0.27777
2019-06-14,0.61402
2019-06-21,0.67028
2019-06-28,0.74156
2019-07-05,0.66049
2019-07-12,0.61244
2019-07-19,0.56809
2019-07-26,0.60809
2019-08-02,0.69049
2019-08-09,0.65384
2019-08-16,0.27724
2019-08-23,0.59453
2019-08-30,0.66142
2019-09-06,0.59214
2019-09-13,0.60286
2019-09-20,0.52683
2019-09-27,0.63479
2019-10-04,0.64326
2019-10-11,0.55892
2019-10-18,0.53189
2019-10-25,0.63878
2019-11-01,0.66988
2019-11-08,0.62129
2019-11-15,0.66090
2019-11-22,0.65319
2019-11-29,0.72569
2019-12-06,0.73029
2019-12-13,0.66513
2019-12-20,0.75488
2019-12-27,0.73355
2020-01-03,0.67509
2020-01-10,0.57295
2020-01-17,0.58751
2020-01-24,0.57111
2020-01-31,0.65641
2020-02-07,0.57034
2020-02-14,0.58321
2020-02-21,0.63895
2020-02-28,0.73754
2020-03-06,0.69749
2020-03-13,0.71324
2020-03-20,0.65568
2020-03-27,0.49859
2020-04-03,0.52862
2020-04-10,0.45053
2020-04-17,0.50170
2020-04-24,0.36460
2020-05-01,0.58326
2020-05-08,0.59249
2020-05-15,0.66526
2020-05-22,0.58514
2020-05-29,0.55418
2020-06-05,0.81480
2020-06-12,0.86982
2020-06-19,0.90620
2020-06-26,0.81867
2020-07-03,0.87278
2020-07-10,0.86831
2020-07-17,0.89495
2020-07-24,0.91630
2020-07-31,0.84719
2020-08-07,0.62968
2020-08-14,0.90314
2020-08-21,0.91309
2020-08-28,0.87999
2020-09-04,0.91865
2020-09-11,0.85299
2020-09-18,0.88023
2020-09-25,0.88545
2020-10-02,1.01853
2020-10-09,0.86397
2020-10-16,0.89861
2020-10-23,0.87137
2020-10-30,0.95194
2020-11-06,0.95713
2020-11-13,0.93374
2020-11-20,0.93131
2020-11-27,0.96960
2020-12-04,1.00394
2020-12-11,0.81913
2020-12-18,0.84193
2020-12-25,0.98087
2021-01-01,1.00993
2021-01-08,0.70000
2021-01-15,0.79001
2021-01-22,0.81092
2021-01-29,0.94076
2021-02-05,0.80872
2021-02-12,0.81880
2021-02-19,0.75506
2021-02-26,1.01924
2021-03-05,0.95445
2021-03-12,0.98336
2021-03-19,0.97718
2021-03-26,0.98743
2021-04-02,1.14471
2021-04-09,0.91732
2021-04-16,0.93059
2021-04-23,0.82097
2021-04-30,1.10163
2021-05-07,0.45743
2021-05-14,0.37167
2021-05-21,1.18582
2021-05-28,1.33796
2021-06-04,1.32258
2021-06-11,1.25659
2021-06-18,1.25513
2021-06-25,1.22307
2021-07-02,1.54819
2021-07-09,1.29457
2021-07-16,1.39406
2021-07-23,0.63339
2021-07-30,1.44744
2021-08-06,1.32179
2021-08-13,1.26619
2021-08-20,1.26236
2021-08-27,1.29760
2021-09-03,1.33030
2021-09-10,1.25690
2021-09-17,1.30715
2021-09-24,1.21776
2021-10-01,1.49229
2021-10-08,1.27003
2021-10-15,1.32335
2021-10-22,1.30895
2021-10-29,1.42132
2021-11-05,1.39986
2021-11-12,1.44333
2021-11-19,1.52506
2021-11-26,1.52640
2021-12-03,1.75997
2021-12-10,1.57737
2021-12-17,1.73622
2021-12-24,1.71207
2021-12-31,1.92628
2022-01-07,1.24011
2022-01-14,1.32698
2022-01-21,1.38690
2022-01-28,1.36756
2022-02-04,1.52575
2022-02-11,1.40626
2022-02-18,1.46962
2022-02-25,1.56688
2022-03-04,1.82369
2022-03-11,1.58738
2022-03-18,1.59868
2022-03-25,1.67283
2022-04-01,2.13055
2022-04-08,1.86022
2022-04-15,1.94285
2022-04-22,2.01152
2022-04-29,2.48977
2022-05-06,1.21534
2022-05-13,2.21436
2022-05-20,2.27904
2022-05-27,2.48486
2022-06-03,2.57147
2022-06-10,2.36479
2022-06-17,2.44008
2022-06-24,2.34878
2022-07-01,3.00796
2022-07-08,2.73681
2022-07-15,0.99723
2022-07-22,2.40248
2022-07-29,2.80746
2022-08-05,2.56566
2022-08-12,2.49824
2022-08-19,2.48651
2022-08-26,2.56192
2022-09-02,2.90543
2022-09-09,2.57032
2022-09-16,2.59328
2022-09-23,2.56369
2022-09-30,3.14685
2022-10-07,2.75679
2022-10-14,2.73053
2022-10-21,2.80090
2022-10-28,3.00934
2022-11-04,3.12745
2022-11-11,2.98843
2022-11-18,3.00683
2022-11-25,2.93792
2022-12-02,3.86516
2022-12-09,3.28528
2022-12-16,3.38299
2022-12-23,3.54026
2022-12-30,4.74254
2023-01-06,3.15058
2023-01-13,3.05939
2023-01-20,3.25224
2023-01-27,3.47285
2023-02-03,3.87993
2023-02-10,2.74238
2023-02-17,3.17466
2023-02-24,3.69380
2023-03-03,4.38618
2023-03-10,3.85950
2023-03-17,3.98500
2023-03-24,4.46571
2023-03-31,5.40163
2023-04-07,4.70390
2023-04-14,5.24900
2023-04-21,5.15945
2023-04-28,5.38320
2023-05-05,5.85940
2023-05-12,6.09116
2023-05-19,5.46680
2023-05-26,5.74301
2023-06-02,6.18994
2023-06-09,6.36168
2023-06-16,6.36364
2023-06-23,6.92481
2023-06-30,3.99110
2023-07-07,5.92371
2023-07-14,6.53211
2023-07-21,6.94944
2023-07-28,6.81689
2023-08-04,7.21899
2023-08-11,6.50837
2023-08-18,6.46508
2023-08-25,6.64248
2023-09-01,7.08851
2023-09-08,6.39392
2023-09-15,6.56294
2023-09-22,6.89892
2023-09-29,7.14334
2023-10-06,7.06488
2023-10-13,6.70175
2023-10-20,6.74064
2023-10-27,6.97284
2023-11-03,7.48829
2023-11-10,6.94971
2023-11-17,7.00290
2023-11-24,7.44664
2023-12-01,8.95936
2023-12-08,7.81555
2023-12-15,8.16680
2023-12-22,8.81340
2023-12-29,11.80238
2024-01-05,7.31965
2024-01-12,7.29049
2024-01-19,7.71595
2024-01-26,7.78790
2024-02-02,9.16872
2024-02-09,8.25792
2024-02-16,8.64589
2024-02-23,8.99530
2024-03-01,11.71680
2024-03-08,10.39033
2024-03-15,10.22134
2024-03-22,10.77101
2024-03-29,13.21448
2024-04-05,12.46422
2024-04-12,7.15962
2024-04-19,10.69217
2024-04-26,11.52476
2024-05-03,12.31412
2024-05-10,10.98584
2024-05-17,10.97341
2024-05-24,10.69149
2024-05-31,13.02251
2024-06-07,12.22115
2024-06-14,13.72566
2024-06-21,5.43712
2024-06-28,14.37597
2024-07-05,13.52719
2024-07-12,12.20063
2024-07-19,11.77694
2024-07-26,12.31028
2024-08-02,14.25499
2024-08-09,12.06092
2024-08-16,12.10431
2024-08-23,12.14616
2024-08-30,13.20486
2024-09-06,13.09392
2024-09-13,12.45141
2024-09-20,12.52069
2024-09-27,12.76515
2024-10-04,13.62264
2024-10-11,12.76373
2024-10-18,13.22233
2024-10-25,12.58824
2024-11-01,13.35605
2024-11-08,13.19443
2024-11-15,13.34726
2024-11-22,13.25620
2024-11-29,15.23800
2024-12-06,14.48231
2024-12-13,14.54497
2024-12-20,13.89935
2024-12-27,14.95514
2025-01-03,15.55824
2025-01-10,13.72255
2025-01-17,13.17566
2025-01-24,12.14261
2025-01-31,15.36990
2025-02-07,14.16578
2025-02-14,14.13618
2025-02-21,14.17194
2025-02-28,15.79888
2025-03-07,15.72791
2025-03-14,16.21946
2025-03-21,16.87413
2025-03-28,19.13849
2025-04-04,11.55188
2025-04-11,17.62125
2025-04-18,18.17680
2025-04-25,17.21617
2025-05-02,19.41063
2025-05-09,19.23118
2025-05-16,18.57899
2025-05-23,17.33805
2025-05-30,21.47652
2025-06-06,18.30661
2025-06-13,13.89527
2025-06-20,20.16049
2025-06-27,21.70536
2025-07-04,21.90089
2025-07-11,20.07743
2025-07-18,18.44390
2025-07-25,18.39113
2025-08-01,21.64916
2025-08-08,18.82474
2025-08-15,17.64259
2025-08-22,18.53266
2025-08-29,20.28200
2025-09-05,19.31105
2025-09-12,18.76761
2025-09-19,18.56847
2025-09-26,19.13482
2025-10-03,21.77370
2025-10-10,19.34301
2025-10-17,19.73238
2025-10-24,18.69302
2025-10-31,20.27768
2025-11-07,20.88513
2025-11-14,20.25333
2025-11-21,20.88299
2025-11-28,21.73095
2025-12-05,22.12376
2025-12-12,22.38986
2025-12-19,21.93818
2025-12-26,22.29134
2026-01-02,24.03836
2026-01-09,19.29437
2026-01-16,18.59545
2026-01-23,17.76090
2026-01-30,20.90376
2026-02-06,20.99172
2026-02-13,20.16862
2026-02-20,19.47590
2026-02-27,19.76184
2026-03-06,22.75839
2026-03-13,21.78560
2026-03-20,19.65087
2026-03-27,19.22868
2026-04-03,25.06528
2026-04-10,22.10802
2026-04-17,23.65499
2026-04-24,21.06931
2026-05-01,25.46843
2026-05-08,25.18939
2026-05-15,25.47379
2026-05-22,26.24547
2026-05-29,15.65101
2026-06-05,23.85999
2026-06-12,25.89432
2026-06-19,25.37521
2026-06-26,24.27192
2026-07-03,28.75699
2026-07-10,25.19437
2026-07-17,24.13844
2026-07-24,22.88022
2026-07-31,26.59063
2026-08-07,25.08657
2026-08-14,24.17812
2026-08-21,23.95144
2026-08-28,23.40123
2026-09-04,25.39727
2026-09-11,23.90359
2026-09-18,23.61089
