date,value
2014-03-07,0.03445
2014-03-14,0.03256
2014-03-21,0.01823
2014-03-28,0.01987
2014-04-04,0.01890
2014-04-11,0.01878
2014-04-18,0.01959
2014-04-25,0.01625
2014-05-02,0.02136
2014-05-09,0.01893
2014-05-16,0.01921
2014-05-23,0.01607
2014-05-30,0.02026
2014-06-06,0.02327
2014-06-13,0.01948
2014-06-20,0.02109
2014-06-27,0.02140
2014-07-04,0.02707
2014-07-11,0.02245
2014-07-18,0.02420
2014-07-25,0.02377
2014-08-01,0.01490
2014-08-08,0.02622
2014-08-15,0.02331
2014-08-22,0.02289
2014-08-29,0.02766
2014-09-05,0.02625
2014-09-12,0.02257
2014-09-19,0.02341
2014-09-26,0.02380
2014-10-03,0.02799
2014-10-10,0.01622
2014-10-17,0.02672
2014-10-24,0.02264
2014-10-31,0.02456
2014-11-07,0.02560
2014-11-14,0.02150
2014-11-21,0.02354
2014-11-28,0.02582
2014-12-05,0.02311
2014-12-12,0.02116
2014-12-19,0.02327
2014-12-26,0.02319
2015-01-02,0.02472
2015-01-09,0.01961
2015-01-16,0.02324
2015-01-23,0.02202
2015-01-30,0.02127
2015-02-06,0.01978
2015-02-13,0.01959
2015-02-20,0.02101
2015-02-27,0.02333
2015-03-06,0.02456
2015-03-13,0.02418
2015-03-20,0.02372
2015-03-27,0.02116
2015-04-03,0.02529
2015-04-10,0.02370
2015-04-17,0.02635
2015-04-24,0.02219
2015-05-01,0.02648
2015-05-08,0.03005
2015-05-15,0.02805
2015-05-22,0.02328
2015-05-29,0.02262
2015-06-05,0.02485
2015-06-12,0.02160
2015-06-19,0.02498
2015-06-26,0.02293
2015-07-03,0.02879
2015-07-10,0.02263
2015-07-17,0.01993
2015-07-24,0.02298
2015-07-31,0.02536
2015-08-07,0.02599
2015-08-14,0.02212
2015-08-21,0.02543
2015-08-28,0.02340
2015-09-04,0.02442
2015-09-11,0.02270
2015-09-18,0.02785
2015-09-25,0.01424
2015-10-02,0.02709
2015-10-09,0.02359
2015-10-16,0.02571
2015-10-23,0.02340
2015-10-30,0.02442
2015-11-06,0.02753
2015-11-13,0.02236
2015-11-20,0.02451
2015-11-27,0.02319
2015-12-04,0.02527
2015-12-11,0.02290
2015-12-18,0.02573
2015-12-25,0.02381
2016-01-01,0.02281
2016-01-08,0.02368
2016-01-15,0.02350
2016-01-22,0.02303
2016-01-29,0.02284
2016-02-05,0.02282
2016-02-12,0.02071
2016-02-19,0.02522
2016-02-26,0.02218
2016-03-04,0.02533
2016-03-11,0.02271
2016-03-18,0.02414
2016-03-25,0.02175
2016-04-01,0.02427
2016-04-08,0.02011
2016-04-15,0.02321
2016-04-22,0.02165
2016-04-29,0.02260
2016-05-06,0.02474
2016-05-13,0.02189
2016-05-20,0.02201
2016-05-27,0.02413
2016-06-03,0.02454
2016-06-10,0.02381
2016-06-17,0.02704
2016-06-24,0.02521
2016-07-01,0.03325
2016-07-08,0.00901
2016-07-15,0.03248
2016-07-22,0.02674
2016-07-29,0.02595
2016-08-05,0.02820
2016-08-12,0.02784
2016-08-19,0.02751
2016-08-26,0.02476
2016-09-02,0.02838
2016-09-09,0.02715
2016-09-16,0.01189
2016-09-23,0.02828
2016-09-30,0.02580
2016-10-07,0.02774
2016-10-14,0.02268
2016-10-21,0.02923
2016-10-28,0.02528
2016-11-04,0.02796
2016-11-11,0.02396
2016-11-18,0.02597
2016-11-25,0.02431
2016-12-02,0.02861
2016-12-09,0.02243
2016-12-16,0.02769
2016-12-23,0.02295
2016-12-30,0.02819
2017-01-06,0.02376
2017-01-13,0.02120
2017-01-20,0.02724
2017-01-27,0.02356
2017-02-03,0.02609
2017-02-10,0.02509
2017-02-17,0.02635
2017-02-24,0.02521
2017-03-03,0.03046
2017-03-10,0.02818
2017-03-17,0.02734
2017-03-24,0.02558
2017-03-31,0.02612
2017-04-07,0.02829
2017-04-14,0.02381
2017-04-21,0.02590
2017-04-28,0.02485
2017-05-05,0.02512
2017-05-12,0.02550
2017-05-19,0.02307
2017-05-26,0.02581
2017-06-02,0.02683
2017-06-09,0.02215
2017-06-16,0.02650
2017-06-23,0.02519
2017-06-30,0.02010
2017-07-07,0.02921
2017-07-14,0.02442
2017-07-21,0.19130
2017-07-28,0.19782
2017-08-04,0.02708
2017-08-11,0.02564
2017-08-18,0.02867
2017-08-25,0.02689
2017-09-01,0.02023
2017-09-08,0.02459
2017-09-15,0.02822
