date,value
2014-03-07,0.53250
2014-03-14,0.51549
2014-03-21,0.62554
2014-03-28,0.52395
2014-04-04,0.56370
2014-04-11,0.49763
2014-04-18,0.63129
2014-04-25,0.53585
2014-05-02,0.53802
2014-05-09,0.62162
2014-05-16,0.66468
2014-05-23,0.49861
2014-05-30,0.52731
2014-06-06,0.56086
2014-06-13,0.57458
2014-06-20,0.72760
2014-06-27,0.56986
2014-07-04,0.61902
2014-07-11,0.53784
2014-07-18,0.64609
2014-07-25,0.57920
2014-08-01,0.37459
2014-08-08,0.68920
2014-08-15,0.55975
2014-08-22,0.67095
2014-08-29,0.60120
2014-09-05,0.58173
2014-09-12,0.60598
2014-09-19,0.80992
2014-09-26,0.67205
2014-10-03,0.78881
2014-10-10,0.48585
2014-10-17,0.73157
2014-10-24,0.66801
2014-10-31,0.65495
2014-11-07,0.71884
2014-11-14,0.61811
2014-11-21,0.74436
2014-11-28,0.65153
2014-12-05,0.62962
2014-12-12,0.62228
2014-12-19,0.67790
2014-12-26,0.85876
2015-01-02,0.86260
2015-01-09,0.51953
2015-01-16,0.59947
2015-01-23,0.61635
2015-01-30,0.67091
2015-02-06,0.67736
2015-02-13,0.64795
2015-02-20,0.70535
2015-02-27,0.65433
2015-03-06,0.68332
2015-03-13,0.64920
2015-03-20,0.72962
2015-03-27,0.62692
2015-04-03,0.69399
2015-04-10,0.61248
2015-04-17,0.73494
2015-04-24,0.63405
2015-05-01,0.63976
2015-05-08,0.72845
2015-05-15,0.68832
2015-05-22,0.69557
2015-05-29,0.63136
2015-06-05,0.60493
2015-06-12,0.64617
2015-06-19,0.85084
2015-06-26,0.66626
2015-07-03,0.70280
2015-07-10,0.65854
2015-07-17,0.68320
2015-07-24,0.57854
2015-07-31,0.66344
2015-08-07,0.73062
2015-08-14,0.63756
2015-08-21,0.75504
2015-08-28,0.65024
2015-09-04,0.63905
2015-09-11,0.61910
2015-09-18,0.88034
2015-09-25,0.58385
2015-10-02,0.78818
2015-10-09,0.66374
2015-10-16,0.74129
2015-10-23,0.67209
2015-10-30,0.68673
2015-11-06,0.73187
2015-11-13,0.65009
2015-11-20,0.80108
2015-11-27,0.66285
2015-12-04,0.70864
2015-12-11,0.70067
2015-12-18,0.72234
2015-12-25,0.91645
2016-01-01,0.78912
2016-01-08,0.54441
2016-01-15,0.58300
2016-01-22,0.61353
2016-01-29,0.64827
2016-02-05,0.63847
2016-02-12,0.65998
2016-02-19,0.68228
2016-02-26,0.62790
2016-03-04,0.64109
2016-03-11,0.77891
2016-03-18,0.66445
2016-03-25,0.62590
2016-04-01,0.69407
2016-04-08,0.60316
2016-04-15,0.63255
2016-04-22,0.65407
2016-04-29,0.66062
2016-05-06,0.68304
2016-05-13,0.70072
2016-05-20,0.63309
2016-05-27,0.62860
2016-06-03,0.65776
2016-06-10,0.65343
2016-06-17,0.71411
2016-06-24,1.00972
2016-07-01,0.81609
2016-07-08,0.41910
2016-07-15,0.70528
2016-07-22,0.61281
2016-07-29,0.64569
2016-08-05,0.64464
2016-08-12,1.14900
2016-08-19,0.66371
2016-08-26,0.66554
2016-09-02,0.81157
2016-09-09,0.71696
2016-09-16,0.41597
2016-09-23,0.73383
2016-09-30,0.75649
2016-10-07,0.66294
2016-10-14,0.69029
2016-10-21,0.74176
2016-10-28,0.68619
2016-11-04,0.67387
2016-11-11,0.67234
2016-11-18,0.77877
2016-11-25,0.71692
2016-12-02,0.71130
2016-12-09,0.65302
2016-12-16,0.68468
2016-12-23,0.78372
2016-12-30,0.83520
2017-01-06,0.59874
2017-01-13,0.55870
2017-01-20,0.63006
2017-01-27,0.65332
2017-02-03,0.63052
2017-02-10,0.64919
2017-02-17,0.71865
2017-02-24,0.64892
2017-03-03,0.73495
2017-03-10,0.65784
2017-03-17,0.79671
2017-03-24,0.70458
2017-03-31,0.70842
2017-04-07,0.63399
2017-04-14,0.66875
2017-04-21,0.66306
2017-04-28,0.70187
2017-05-05,0.66321
2017-05-12,0.71417
2017-05-19,0.69948
2017-05-26,0.63516
2017-06-02,0.63286
2017-06-09,0.66642
2017-06-16,0.77982
2017-06-23,0.74947
2017-06-30,0.58430
2017-07-07,0.77292
2017-07-14,0.71318
2017-07-21,0.71415
2017-07-28,0.68795
2017-08-04,0.68443
2017-08-11,0.72402
2017-08-18,0.75158
2017-08-25,0.75679
2017-09-01,0.64417
2017-09-08,0.58481
2017-09-15,0.81332
2017-09-22,0.81543
2017-09-29,0.89929
2017-10-06,0.83693
2017-10-13,0.75935
2017-10-20,0.74899
2017-10-27,0.78520
2017-11-03,0.75647
2017-11-10,0.69226
2017-11-17,0.78225
2017-11-24,0.96613
2017-12-01,0.82555
2017-12-08,0.71591
2017-12-15,0.78233
2017-12-22,0.86600
2017-12-29,0.94604
2018-01-05,0.75516
2018-01-12,0.68924
2018-01-19,0.72410
2018-01-26,0.74243
2018-02-02,0.73848
2018-02-09,0.71559
2018-02-16,0.79481
2018-02-23,0.76591
2018-03-02,0.77607
2018-03-09,0.73474
2018-03-16,0.78760
2018-03-23,0.76777
2018-03-30,0.78229
2018-04-06,0.74558
2018-04-13,0.77872
2018-04-20,0.78556
2018-04-27,0.75564
2018-05-04,0.78348
2018-05-11,0.87311
2018-05-18,0.88787
2018-05-25,0.83748
2018-06-01,0.84747
2018-06-08,0.81412
2018-06-15,0.80927
2018-06-22,0.79679
2018-06-29,0.82169
2018-07-06,0.83172
2018-07-13,0.86330
2018-07-20,0.83265
2018-07-27,0.81013
2018-08-03,0.87354
2018-08-10,0.74959
2018-08-17,1.01984
2018-08-24,0.46732
2018-08-31,0.88148
2018-09-07,0.85855
2018-09-14,0.90812
2018-09-21,0.90386
2018-09-28,0.85739
2018-10-05,0.83174
2018-10-12,0.78892
2018-10-19,0.82870
2018-10-26,0.78577
2018-11-02,0.77621
2018-11-09,0.75207
2018-11-16,0.98340
2018-11-23,1.22012
2018-11-30,0.92312
2018-12-07,0.75362
2018-12-14,0.79641
2018-12-21,0.87572
2018-12-28,0.98550
2019-01-04,0.84040
2019-01-11,0.64715
2019-01-18,0.73982
2019-01-25,0.73052
2019-02-01,0.74092
2019-02-08,0.73151
2019-02-15,0.84891
2019-02-22,0.80988
2019-03-01,0.81370
2019-03-08,0.81491
2019-03-15,0.87442
2019-03-22,0.91193
2019-03-29,0.91736
2019-04-05,0.79547
2019-04-12,0.71566
2019-04-19,0.83293
2019-04-26,0.80631
2019-05-03,0.85360
2019-05-10,0.83308
2019-05-17,0.79735
2019-05-24,0.81597
2019-05-31,0.86523
2019-06-07,0.50429
2019-06-14,0.95909
2019-06-21,1.02817
2019-06-28,1.04893
2019-07-05,1.00139
2019-07-12,0.87822
2019-07-19,0.82166
2019-07-26,0.86504
2019-08-02,0.90088
2019-08-09,0.92622
2019-08-16,0.62431
2019-08-23,0.93722
2019-08-30,0.94563
2019-09-06,0.94016
2019-09-13,1.00720
2019-09-20,0.88453
2019-09-27,0.95184
2019-10-04,0.93997
2019-10-11,0.89378
2019-10-18,0.86943
2019-10-25,1.03163
2019-11-01,0.94419
2019-11-08,0.90571
2019-11-15,1.48309
2019-11-22,1.37567
2019-11-29,1.79347
2019-12-06,1.06839
2019-12-13,0.93227
2019-12-20,1.04141
2019-12-27,1.12918
2020-01-03,1.16555
2020-01-10,0.95018
2020-01-17,1.01947
2020-01-24,1.01898
2020-01-31,1.01617
2020-02-07,1.06468
2020-02-14,1.13950
2020-02-21,1.12052
2020-02-28,1.13333
2020-03-06,1.12663
2020-03-13,1.21167
2020-03-20,1.16067
2020-03-27,0.98688
2020-04-03,1.07960
2020-04-10,1.14864
2020-04-17,1.25778
2020-04-24,1.11062
2020-05-01,1.25340
2020-05-08,1.66774
2020-05-15,1.65030
2020-05-22,1.39948
2020-05-29,1.27617
2020-06-05,1.87775
2020-06-12,1.82269
2020-06-19,1.84741
2020-06-26,1.71454
2020-07-03,1.66800
2020-07-10,1.78071
2020-07-17,1.70374
2020-07-24,1.70751
2020-07-31,1.55882
2020-08-07,1.50468
2020-08-14,1.80558
2020-08-21,1.91372
2020-08-28,1.77279
2020-09-04,1.97628
2020-09-11,2.19392
2020-09-18,2.09811
2020-09-25,2.09685
2020-10-02,2.07029
2020-10-09,2.25362
2020-10-16,1.99670
2020-10-23,1.97601
2020-10-30,1.95117
2020-11-06,2.11653
2020-11-13,3.31448
2020-11-20,1.83164
2020-11-27,3.21384
